Newtimestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH),march_1st,march_2nd,march_3rd,march_4th,april_1st,april_2nd,april_3rd,april_4th,april_5th,may_1st,may_2nd,may_3rd,may_3rd
06/07/19 0:00,FRC2,24,42,24,42,249.6,78.4,54.5,40.3,170.6,76,65.2,122.6,98.3,175.7,50.3,43.8,42.8
06/07/19 0:15,FRC2,24,42,24,42,200,83.1,55.8,40.7,178.2,76.5,64.7,105.3,86.7,174.6,73.3,46.4,45.3
06/07/19 0:30,FRC2,25,41,25,41,166.7,70.9,58.8,41.2,196.5,78.5,63.9,91.4,76.4,170.7,74.2,45,48.4
06/07/19 0:45,FRC2,25,41,25,41,158.1,68.2,57.1,42.5,192.1,78.6,62.5,77.5,74.2,178.3,75,45.1,49.1
06/07/19 1:00,FRC2,25,41,25,41,156.7,65.2,50.4,43.9,192.8,78.6,60.4,68.9,73,185.5,72.2,48.9,47.2
06/07/19 1:15,FRC2,25,41,25,41,166.6,67,45.5,50.1,193.3,78.2,55.1,63.5,63.7,173.4,68.8,49.2,44.9
06/07/19 1:30,FRC2,24,42,36,28,168.7,75.5,43.1,58.5,193.1,77.8,51.4,62.9,59.2,142.4,65.1,44.5,43.3
06/07/19 1:45,FRC2,24,42,24,42,157.1,79.4,40.2,62.8,184.6,78.1,51.8,64.2,57,107.4,66.6,31.3,43.8
06/07/19 2:00,FRC2,24,42,24,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.8,28.5,45.3
06/07/19 2:15,FRC2,24,42,24,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.8,27.1,47.6
06/07/19 2:30,FRC2,24,42,24,42,163.8,99.9,33.5,46.5,170,86.4,45.6,45.7,32.4,64,69.3,31.1,49.2
06/07/19 2:45,FRC2,24,42,24,42,166.7,96,34.2,44.7,171.1,85.5,44.1,44.3,32.3,63.4,62.1,35.3,44.6
06/07/19 3:00,FRC2,24,42,24,42,166.4,104.5,35.2,43.8,170.1,86.1,43.7,44.2,31.1,62.9,72.7,34.2,29
06/07/19 3:15,FRC2,24,42,24,42,164.5,109.4,35.4,41.5,172.3,95.8,44.1,45.8,30,62.1,77.1,34.9,26.6
06/07/19 3:30,FRC2,24,42,33,31,163.9,110,34.2,41.1,175.3,104,45.9,48.2,31.1,63.3,76.1,39.1,18.9
06/07/19 3:45,FRC2,25,41,31,33,164.6,112.4,34.4,42.1,177.9,107.1,48.2,51.9,33.3,66.5,76.2,48.6,17.9
06/07/19 4:00,FRC2,24,42,24,42,160.2,113.1,35.1,39.6,179.4,108.9,49.9,60.1,35.6,81.3,79.1,50.7,17.1
06/07/19 4:15,FRC2,24,42,24,42,152.9,111,34.3,37.7,177.6,111,49.4,64.3,41.6,90.3,93.7,45.8,15.9
06/07/19 4:30,FRC2,24,42,24,42,149.9,108,33.6,36.3,175.6,111.8,48.6,64.8,46.9,90.8,94.5,35.4,18.2
06/07/19 4:45,FRC2,24,42,24,42,150.5,107.2,36.1,34.8,173.8,113.3,49,64.9,49,88.5,101.8,31.1,20.5
06/07/19 5:00,FRC2,24,42,24,42,151.3,108.1,42.8,32.8,173.4,124.2,50.1,65.6,52.5,88.5,112.4,28.8,19.4
06/07/19 5:15,FRC2,24,42,24,42,155.3,108.3,43.8,32.7,173.6,129.7,50,66.1,55.4,90.2,121.1,30.3,17.7
06/07/19 5:30,FRC2,24,42,24,42,168,108.1,42.4,33.1,172.4,143.5,49.2,65.4,55.9,93.1,141.6,34.7,17.3
06/07/19 5:45,FRC2,24,42,24,42,201.6,109.3,43.2,32.2,177.9,143,50.1,64.4,58.5,95.3,126.1,37.6,17.1
06/07/19 6:00,FRC2,24,42,24,42,187.5,109.2,44.6,32,190.8,142.6,52,64.2,66.8,95.1,107.1,36.9,17.8
06/07/19 6:15,FRC2,24,42,24,42,172.7,109.9,47.5,31.7,182.7,140.2,66.2,67.7,76.8,93.8,100.6,33,18.8
06/07/19 6:30,FRC2,24,42,24,42,155.2,111.9,51.1,31.5,185.2,142.5,84.2,78.3,81.3,95.2,96.9,30.7,19.8
06/07/19 6:45,FRC2,24,42,24,42,159.4,117.6,59.2,31.7,198,143,84.5,80.5,92.9,92.7,95.3,31.1,22.1
06/07/19 7:00,FRC2,25,41,25,41,185.2,121.9,62.7,32.2,218.9,146.6,83.5,81.9,95.5,90.9,89.6,25.2,24.5
06/07/19 7:15,FRC2,24,42,32,32,218.6,119.2,64.3,33.3,211.4,149.7,86.6,77,77.5,75,62,20.9,23.7
06/07/19 7:30,FRC2,25,41,25,41,224,112.9,72.1,35.1,195,156.4,90.3,66.5,75,66,51.4,19.6,24.2
06/07/19 7:45,FRC2,25,41,25,41,198.2,111.4,68,37.1,172.5,143.7,81.3,63.8,66.8,64.6,45.8,18.7,23.7
06/07/19 8:00,FRC2,25,41,25,41,188.2,107.8,64.6,39.2,153.6,121.1,63.9,62.4,62.3,52.9,45.1,17.9,24.8
06/07/19 8:15,FRC2,25,41,25,41,190.7,103.8,60.1,39.8,145.5,108.3,63.5,53.3,59,48.5,41.1,17.3,24.8
06/07/19 8:30,FRC2,24,42,34,30,210.3,101,54.1,41.1,116.1,106.4,61.6,48.5,47.7,46.2,38.7,18,22.9
06/07/19 8:45,FRC2,25,41,25,41,239.4,99.2,48.2,41.1,100.3,100.5,58.1,47.4,45.1,44.4,34.6,17.7,19.7
06/07/19 9:00,FRC2,25,41,25,41,247.6,97.3,44.9,40.5,95.8,85.7,51.9,45.2,43.1,42.3,32.6,17.7,17.9
06/07/19 9:15,FRC2,24,42,24,42,226.9,96,41.2,40.1,86.7,75.5,48.1,44.2,38.8,40.8,30.3,17,16.2
06/07/19 9:30,FRC2,24,42,24,42,220.6,86.7,41,38.7,74.3,68.6,46,41.9,28.3,41.2,28.4,17.1,18
06/07/19 9:45,FRC2,24,42,33,31,213.4,74.8,39.8,37.3,69.7,67,43.6,38.9,25.3,39.2,29.2,16.3,17.2
06/07/19 10:00,FRC2,24,42,39,26,189,72.8,37.4,37.1,67,64.7,41.1,34.1,23.4,38.9,28.5,16,16.7
06/07/19 10:15,FRC2,24,42,38,27,176.2,71.5,37.1,36.4,63,61.3,38.6,25.6,NaN,36.2,24.7,14.7,16
06/07/19 10:30,FRC2,25,41,25,41,160.5,60.8,34.8,35.7,52.3,47,36.7,20.6,NaN,35.8,21.9,13.5,14.7
06/07/19 10:45,FRC2,25,41,25,41,159.5,64.5,28,38.1,24.7,46,32.8,16.1,NaN,33.2,19,14.2,13.9
06/07/19 11:00,FRC2,25,41,25,41,145.4,NaN,23.5,34.6,23.5,41.9,32.7,15.4,NaN,34.1,19.9,14.4,13.9
06/07/19 11:15,FRC2,24,42,39,26,150.3,46.1,21.9,33.2,19.6,41.4,32.2,18.9,NaN,32.9,18,14,14.4
06/07/19 11:30,FRC2,25,41,38,27,174.3,39.9,20.2,32.7,20.9,41.9,32.3,20.1,NaN,27.3,15.7,15,14.2
