newtimestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH),march_1st,march_2nd,march_3rd,march_4th,april_1st,april_2nd,april_3rd,april_4th,april_5th,may_1st,may_2nd,may_3rd,may_4th
06/07/19 0:00,FRC1,203,33,203,33,130,27.4,119.6,64.2,77.6,35.2,27.2,68,83.8,74.1,13.8,35.4,68.2
06/07/19 0:15,FRC1,203,33,203,33,68.9,30.3,114.3,49.3,54.5,34.6,28.4,64.4,97.6,50.3,12.9,29.9,79.6
06/07/19 0:30,FRC1,203,33,257,26,36.7,30.5,93.3,64.7,47.7,NaN,25.1,61.6,70.1,57,13,30.1,62.7
06/07/19 0:45,FRC1,203,33,203,33,34.6,31.2,108,39.3,45.2,46,23.2,57.3,61.3,69.4,14.6,29.6,68.9
06/07/19 1:00,FRC1,203,33,203,33,40.4,32,79.8,54.1,46.3,129.3,21.9,52,54.1,60.6,15.3,24.6,80.1
06/07/19 1:15,FRC1,203,33,203,33,53,30.1,90.2,46.4,45.3,218.2,20.1,47.2,39.7,39.5,14.4,15.6,53.5
06/07/19 1:30,FRC1,203,33,203,33,70.5,28,90.4,49.8,50,239,19.2,42.8,32.6,28.5,13.3,14.4,87.6
06/07/19 1:45,FRC1,203,33,203,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06/07/19 2:00,FRC1,203,33,203,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06/07/19 2:15,FRC1,209,32,209,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06/07/19 2:30,FRC1,209,32,209,32,42.6,42.1,96.9,32.7,57.3,110,14.5,114.5,29.7,47.5,18.6,25.4,39.7
06/07/19 2:45,FRC1,209,32,372,18,41.3,71.6,101,43.7,107.5,82.9,15.3,83.9,29.6,47.8,19.2,24,42.1
06/07/19 3:00,FRC1,209,32,209,32,39.8,81.2,100.2,61.1,69.5,73.2,16,66.1,27.1,65.5,18.6,22,39.7
06/07/19 3:15,FRC1,209,32,209,32,40.6,88.5,55.5,44.4,50.7,83.1,16.9,56.1,23.7,102.8,17.5,18.5,34.4
06/07/19 3:30,FRC1,209,32,209,32,46.4,74,60.8,42.2,36.8,131.7,17.6,53.8,20.8,59.6,17.4,16.8,26.7
06/07/19 3:45,FRC1,209,32,209,32,65.6,55.2,72.2,38.8,36.7,165.9,18.1,63.1,18,52.1,22.1,16.8,24.6
06/07/19 4:00,FRC1,209,32,209,32,60.5,62.3,67,31.2,42.1,212.8,19.3,72.2,17.1,50.7,48.1,26.9,23.1
