Newtimestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH),march_1st,march_2nd,march_3rd,march_4th,april_1st,april_2nd,april_3rd,april_4th,april_5th,may_1st,may_2nd,may_3rd,may_4th
06/07/19 0:00,FRC1,73,36,73,36,76.13,67.2,29.38,43.79,105.09,88.54,47.19,41.23,59.25,125.45,NaN,NaN,NaN
06/07/19 0:15,FRC1,73,36,73,36,76.65,67.32,29.52,42.63,104.27,70.96,45.11,39.88,57.24,124.82,NaN,NaN,NaN
06/07/19 0:30,FRC1,73,36,73,36,77.02,67.57,29.75,42.26,101.97,60.25,41.9,38.46,56.01,118.77,NaN,NaN,NaN
06/07/19 0:45,FRC1,73,36,73,36,76.9,66.95,29.87,42.76,100.63,53.4,39.47,37.11,54.57,109.48,NaN,NaN,NaN
06/07/19 1:00,FRC1,73,36,73,36,74.72,66.32,30.23,45.02,99.51,49.86,38.16,36.35,52.14,100.74,NaN,NaN,NaN
06/07/19 1:15,FRC1,73,36,73,36,68.07,65.68,29.97,39.6,98.49,48.39,36.58,35.94,49.81,95.04,NaN,NaN,NaN
06/07/19 1:30,FRC1,73,36,73,36,60.68,NaN,29.9,39.27,97.44,48.17,34.88,36.63,47.7,89.97,NaN,NaN,NaN
06/07/19 1:45,FRC1,73,36,73,36,54.88,65.6,30.36,30.7,97.51,49.94,34.77,37.48,45.15,85.64,NaN,NaN,NaN
06/07/19 2:00,FRC1,73,36,73,36,50.61,65.42,30.38,30.96,100.51,52.69,39.2,37.88,44.14,81.44,NaN,NaN,NaN
06/07/19 2:15,FRC1,73,36,73,36,47.5,64.37,31.24,30.31,88.33,58.25,34.87,41.09,45.75,76.04,NaN,NaN,NaN
06/07/19 2:30,FRC1,73,36,73,36,45.06,56.96,32.87,29.75,82.82,64.86,43.57,41.88,42.67,72.51,NaN,NaN,NaN
06/07/19 2:45,FRC1,73,36,73,36,38.33,48.32,28.89,29.16,76.12,69.45,46.15,46.4,47.46,70.71,NaN,NaN,NaN
06/07/19 3:00,FRC1,73,36,73,36,32.48,42.13,25.26,27.27,72.29,71.85,47.69,50.12,48.34,68.12,NaN,NaN,NaN
06/07/19 3:15,FRC1,73,36,73,36,27.78,38.75,23.04,26.06,70.07,72.41,50.03,57.54,48.1,62.86,NaN,NaN,NaN
06/07/19 3:30,FRC1,73,36,73,36,25.52,36.51,22.29,24.93,67.71,76.85,53.68,62.85,49.92,51.97,NaN,NaN,NaN
06/07/19 3:45,FRC1,73,36,73,36,23.68,34.96,22.88,24.58,66.03,76.09,56.13,66.14,53.5,48.28,NaN,NaN,NaN
06/07/19 4:00,FRC1,73,36,73,36,22.47,34.6,23.17,24.12,64.1,80.43,57.79,67.81,55.28,43.89,NaN,NaN,NaN
06/07/19 4:15,FRC1,73,36,73,36,21.76,34.28,22.71,24.36,61.89,85.31,58.56,68.29,57.4,43.56,NaN,NaN,NaN
06/07/19 4:30,FRC1,73,36,73,36,21.51,34.37,22.29,24.36,59.44,93.41,59.85,69,58.7,44.29,NaN,NaN,NaN
06/07/19 4:45,FRC1,73,36,73,36,21.11,34.37,22.37,24.21,57.04,103.53,60.12,70.15,57.43,44.93,NaN,NaN,NaN
06/07/19 5:00,FRC1,73,36,73,36,20.97,34.33,23.4,23.8,54.99,110.56,59.63,71.06,56.35,45.46,NaN,NaN,NaN
06/07/19 5:15,FRC1,73,36,73,36,20.98,34.38,23.08,23.1,52.47,115.33,59.23,73.06,56.83,52.59,NaN,NaN,NaN
06/07/19 5:30,FRC1,73,36,73,36,21.71,34.69,22.26,26.48,50.65,119.64,59.51,74.39,55.95,76.77,NaN,NaN,NaN
06/07/19 5:45,FRC1,73,36,73,36,22.04,34.66,22.74,30.37,55.89,125.94,59.54,75.25,56.16,48.94,NaN,NaN,NaN
06/07/19 6:00,FRC1,73,36,73,36,22.58,35.36,22.41,31.92,49.08,119.59,59.9,76.7,57.02,50.16,NaN,NaN,NaN
06/07/19 6:15,FRC1,73,36,73,36,23.56,35.61,21.59,33.43,45.08,110.21,62.5,78.48,58.75,51.52,NaN,NaN,NaN
06/07/19 6:30,FRC1,73,36,73,36,25.08,38.18,21.47,34.26,48.68,102.89,51.82,81.52,61.03,57.85,NaN,NaN,NaN
06/07/19 6:45,FRC1,73,36,73,36,26.29,48.95,35.42,35.06,51.22,96.01,52,66.99,52.54,60.15,NaN,NaN,NaN
06/07/19 7:00,FRC1,73,36,73,36,33.25,61.94,33.98,36.85,54.49,89.01,51.79,62.31,48.31,61.72,NaN,NaN,NaN
06/07/19 7:15,FRC1,73,36,73,36,42.84,73.25,34.43,38.91,62.63,84.7,52.03,58.34,45.49,67.08,NaN,NaN,NaN
06/07/19 7:30,FRC1,73,36,73,36,52.94,82.55,34.71,41.07,73.53,80.15,50.63,53.69,40.78,64.58,NaN,NaN,NaN
06/07/19 7:45,FRC1,73,36,73,36,63.01,89.31,36.36,42.15,83.59,79.84,48.66,52.12,39.13,63.89,NaN,NaN,NaN
06/07/19 8:00,FRC1,73,36,98,27,71.19,94.16,37.47,41.57,91.75,62.54,44.53,49.64,38.41,57.97,NaN,NaN,NaN
06/07/19 8:15,FRC1,73,36,110,24,76.78,97.22,38.74,41.76,92.67,54.1,38.27,45.47,37.83,54.34,NaN,NaN,NaN
06/07/19 8:30,FRC1,73,36,98,27,80.45,99.51,40.68,41.25,85.88,51.78,34.5,41.59,36.26,54.7,NaN,NaN,NaN
06/07/19 8:45,FRC1,75,35,110,24,83.79,102.09,38.28,39.45,76.17,44.24,32.78,29.74,35.94,53.89,NaN,NaN,NaN
