newtimestamp,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH),March(2-8),March(9-15),March(16-22),March(23-29),March(30) – April(5),April(6-12),April(13-19),April(20-26),April(27) – May(3),May(4-10),May(11-17),May(18-24),May(25-31)
06/07/19 0:00,41,40,110,15,116.6,56.4,31.2,24.9,64.7,19.9,38.6,35,57.3,90.6,42.4,26.3,33.1
06/07/19 0:15,41,40,41,40,79.9,54.1,27.8,21.5,64,23.5,39.6,35.9,53.9,77.2,62.9,20.3,32.8
06/07/19 0:30,41,40,41,40,71.9,50.2,24.7,17.3,61.6,23.1,47.6,35.6,51.6,65.6,48.5,19.4,30.3
06/07/19 0:45,41,40,41,40,42.2,52.9,21.6,17.4,61.8,22.8,45.1,32.7,46.5,59.9,75.3,21.7,28.6
06/07/19 1:00,41,40,41,40,39.8,54.1,23,20.3,63.5,40.8,37.4,30.2,34.4,52.5,67,21.4,27.3
06/07/19 1:15,41,40,41,40,43.1,48.4,22.1,22.6,66,58.8,35.5,29.2,30.9,47.4,50.8,16,29.2
06/07/19 1:30,41,40,41,40,45,52.9,20,21.6,82,68.9,37.3,30.3,31.5,39.6,55,16.1,28
06/07/19 1:45,41,40,41,40,45.2,58.6,17.6,20.8,87.8,79,37.4,32,30.6,42.4,53.5,16.5,29.2
06/07/19 2:00,41,40,41,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.9,28.9
06/07/19 2:15,41,40,41,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,31.6
06/07/19 2:30,41,40,41,40,52.8,67,19.8,22.4,74.3,85.3,24.8,34.2,31,37.2,44.5,22.9,32.4
06/07/19 2:45,41,40,41,40,56.9,72.6,19.7,22.7,90.2,93.7,26,50.2,30.1,37.8,51.2,31.8,21.2
06/07/19 3:00,41,40,41,40,49.9,72.8,20.3,17.8,121.3,101,28.3,53.5,26.8,39.6,52.7,30,17.6
06/07/19 3:15,41,40,41,40,45.5,68.1,21,18.7,125,112.5,29.2,49.8,24.3,38.9,59.1,27.4,16.9
06/07/19 3:30,41,40,41,40,43,54,20.3,18.4,129.9,121.4,31.2,40.9,23.5,36.3,51.9,27.8,16
06/07/19 3:45,41,40,41,40,41.5,53.3,20.5,19.2,132.4,93.3,32.5,38.7,30.2,34.8,50.5,26.7,15.1
06/07/19 4:00,41,40,41,40,42.8,52,20.1,18.8,135.8,89.2,34.5,36.4,25.8,29.2,63.6,27.5,14.8
06/07/19 4:15,41,40,41,40,44,53,19.9,18.1,150.1,76.6,36,33,28.1,26.5,63.1,24,15
06/07/19 4:30,41,40,41,40,43.1,52.8,24.1,17.7,155.2,67.9,37.1,31.7,27.5,26.3,96.7,20.1,16.7
06/07/19 4:45,41,40,41,40,42.4,49.7,22.8,15.3,142.5,66.9,36.1,36.5,26.3,26.2,84.5,19.1,15.3
06/07/19 5:00,41,40,41,40,40.3,49.5,22.2,15.5,127.1,67.9,33.3,40.5,25.9,27,109.5,17.2,13.3
06/07/19 5:15,41,40,41,40,39,49.6,23.7,18,120,88.1,32.8,39.5,27.3,27.8,94.8,16,13.8
06/07/19 5:30,41,40,41,40,40.4,49.6,24.5,17.9,139.5,140.5,35.5,38.7,33.6,28.1,81.5,15.3,14.5
06/07/19 5:45,41,40,41,40,48.6,50.5,25,18.5,147.8,159,42.2,39.6,40.4,27.8,58.2,14.9,15.6
06/07/19 6:00,41,40,41,40,58.3,59.6,27.2,19.7,140.9,174.2,43.1,41,43.1,29.8,52,14.6,22.1
06/07/19 6:15,41,40,41,40,59.8,69.8,26.9,19.7,138.1,131,42.6,41.3,53.1,28.3,86.7,14.4,24.1
06/07/19 6:30,41,40,41,40,66.1,76.1,29.4,23.8,134,103.7,59,45,55.8,27.1,117.7,18.5,28
06/07/19 6:45,41,40,41,40,74.9,82,40,27.7,132.2,91.9,78.8,51.1,56.4,33.6,71.2,20.6,29.2
06/07/19 7:00,41,40,41,40,107.3,81.4,44.1,25.8,132.7,88.1,79.9,51.3,53,38.7,67.1,25.2,30.4
06/07/19 7:15,41,40,41,40,180.8,83.9,49,26.2,135.8,73.5,73.6,50.4,46,51,48.8,21.5,30
06/07/19 7:30,41,40,41,40,157.2,90.3,47.7,32,132.4,60.3,57.2,47.4,46.1,43.9,58.4,18,26.5
06/07/19 7:45,41,40,41,40,145.7,82.7,40.9,28.7,122.3,62.1,56.4,51,42.3,45.4,70,19.5,34.7
06/07/19 8:00,41,40,41,40,122.1,76.5,35.2,29.9,115,61.6,54.9,52.3,38.5,44.3,60.1,22,30.7
06/07/19 8:15,41,40,41,40,101.8,61.8,28,27,NaN,74.7,46.2,53.4,33.3,34.8,55.3,20.4,28.6
06/07/19 8:30,41,40,41,40,107.1,47,37,29.8,103.7,64.1,44.5,54.4,40.2,37.8,52.8,21.6,29.3
06/07/19 8:45,41,40,55,30,113.2,45.9,36.9,28.4,90.2,54.2,38.6,51.9,27.9,31.8,61.2,19.2,36.2
06/07/19 9:00,42,39,56,29,117,40,32.3,25.3,78,54.3,41.8,52.6,26.1,32.5,76.5,19.3,27.3
06/07/19 9:15,41,40,41,40,123.5,45.6,34.5,27.3,67.1,49.8,38.2,48.1,29.4,28.1,57.3,25.5,22.3
06/07/19 9:30,42,39,55,30,148.7,44.4,31.4,26.5,48.5,52.7,25.5,33.8,26.2,33.6,50.4,17.4,22
06/07/19 9:45,41,40,41,40,138.3,46.4,26.3,21.8,45.1,56.2,19.4,29.1,21,25.6,43.3,18.8,21.3
06/07/19 10:00,41,40,56,29,123.6,41.5,26.3,17.8,43.5,53.4,21.2,33,18,24.6,50.4,19.6,22.2
06/07/19 10:15,41,40,41,40,115.4,39.5,29.1,20.8,44.5,46.6,18.7,23.6,17.1,26.2,43,19.8,19.3
06/07/19 10:30,41,40,55,30,144.8,43.1,29.9,21.8,42.6,36.7,17.2,20.7,20.4,23.7,45.8,17,22.9
06/07/19 10:45,41,40,56,29,113.9,30.4,26,25.2,38.2,40.3,17.1,26.5,21.7,26.6,40.9,18,21.2
06/07/19 11:00,42,39,56,29,80.9,25.2,26.2,21.2,30.6,28.2,15.4,18.6,20.8,22.8,55,13.1,17.4
06/07/19 11:15,42,39,55,30,93.7,19.2,21.6,19.9,30.2,35.4,16.9,15,16.6,24.8,36.9,15,20.5
06/07/19 11:30,41,40,82,20,102.9,29.3,24.9,19.8,25.5,32.9,16.5,17.9,18.1,23.7,32.1,15.5,18.2
06/07/19 11:45,42,39,75,22,116.5,21.9,23.1,20.5,31.2,29.3,18,17,21.6,22.7,39,14.5,32.4
06/07/19 12:00,41,40,56,29,100.6,26.4,22.2,23.5,25.8,26.6,18.8,12.3,21.5,22,35,15.5,25.8
06/07/19 12:15,40,41,118,14,98.1,20.1,23.6,20,22.7,21.7,16.7,15.3,19,20.3,52.3,15.8,19.9
06/07/19 12:30,41,40,78,21,107.4,20.5,27.7,27.9,35.4,23.2,17.8,15.3,22.3,27.4,34.3,15.9,24.7
06/07/19 12:45,0,0,0,0,95.5,22.1,20.9,24.1,35.4,24.5,20.3,10.8,25.8,18.9,37.3,16.5,23.4
06/07/19 13:00,41,40,103,16,90.1,17.3,22.4,17.5,26.6,22.7,17.3,14.7,24.3,26.1,34.5,24.2,19.6
06/07/19 13:15,41,40,68,24,90.3,16,21.1,17.8,23.7,23.9,16,13,15.4,21.7,30.2,17.1,18.9
06/07/19 13:30,40,41,137,12,79.4,18.8,22.7,21.7,27.3,25.1,14.8,18.4,17.9,24.6,36,18.1,19.3
06/07/19 13:45,41,40,66,25,62.3,19.5,20.5,19,36.5,22.1,14.8,24.5,18,NaN,NaN,14.1,17.4
06/07/19 14:00,41,40,78,21,60.8,18.5,20.1,16.1,37.2,21.1,17,20.5,16.3,NaN,NaN,18.2,13.3
06/07/19 14:15,41,40,63,26,33.1,19.1,18.1,17.1,24.6,16.2,16.5,22,25.9,NaN,26.9,15.8,13.4
06/07/19 14:30,41,40,110,15,63.9,21.2,21.4,19.2,19.8,18.5,13.5,16.2,19.5,NaN,31.5,14.9,14.6
06/07/19 14:45,42,39,71,23,108.4,15.5,17.8,17,28.2,17.7,17.6,16.5,17.3,NaN,28.1,13.2,18.9
06/07/19 15:00,41,40,97,17,92.5,16.7,25.4,18.9,30.2,18.8,18.9,15.3,16.4,NaN,21.7,15.1,19.2
06/07/19 15:15,42,39,82,20,78.7,15.9,20.7,16.7,26.6,19.9,19.7,15,16.9,NaN,20.4,14.9,14.9
06/07/19 15:30,42,39,75,22,63.4,19.7,18.9,12.7,24.3,17.8,18.8,11.4,19,NaN,32.3,13.4,15.7
06/07/19 15:45,41,40,51,32,69.9,18,21.2,13.3,28.2,16.7,21.4,13.6,19.9,NaN,31.8,16.3,16.3
