Newtimestamp,Current Time(seconds),Nox,Nox(target)
06/07/19 0:00,24,249.6,200
06/07/19 0:15,24,200,166.7
06/07/19 0:30,25,166.7,158.1
06/07/19 0:45,25,158.1,156.7
06/07/19 1:00,25,156.7,166.6
06/07/19 1:15,25,166.6,168.7
06/07/19 1:30,36,168.7,157.1
06/07/19 1:45,24,157.1,NaN
06/07/19 2:00,24,NaN,NaN
06/07/19 2:15,24,NaN,163.8
06/07/19 2:30,24,163.8,166.7
06/07/19 2:45,24,166.7,166.4
06/07/19 3:00,24,166.4,164.5
06/07/19 3:15,24,164.5,163.9
06/07/19 3:30,33,163.9,164.6
06/07/19 3:45,31,164.6,160.2
06/07/19 4:00,24,160.2,152.9
06/07/19 4:15,24,152.9,149.9
06/07/19 4:30,24,149.9,150.5
06/07/19 4:45,24,150.5,151.3
06/07/19 5:00,24,151.3,155.3
06/07/19 5:15,24,155.3,168
06/07/19 5:30,24,168,201.6
06/07/19 5:45,24,201.6,187.5
06/07/19 6:00,24,187.5,172.7
06/07/19 6:15,24,172.7,155.2
06/07/19 6:30,24,155.2,159.4
06/07/19 6:45,24,159.4,185.2
06/07/19 7:00,25,185.2,218.6
06/07/19 7:15,32,218.6,224
06/07/19 7:30,25,224,198.2
06/07/19 7:45,25,198.2,188.2
06/07/19 8:00,25,188.2,190.7
06/07/19 8:15,25,190.7,210.3
06/07/19 8:30,34,210.3,239.4
06/07/19 8:45,25,239.4,247.6
06/07/19 9:00,25,247.6,226.9
06/07/19 9:15,24,226.9,220.6
06/07/19 9:30,24,220.6,213.4
06/07/19 9:45,33,213.4,189
06/07/19 10:00,39,189,176.2
06/07/19 10:15,38,176.2,160.5
06/07/19 10:30,25,160.5,159.5
06/07/19 10:45,25,159.5,145.4
06/07/19 11:00,25,145.4,150.3
06/07/19 11:15,39,150.3,174.3
06/07/19 11:30,38,174.3,203.7
06/07/19 11:45,33,203.7,177
06/07/19 12:00,32,177,164.3
06/07/19 12:15,38,164.3,161.8
06/07/19 12:30,38,161.8,156.1
06/07/19 12:45,34,156.1,132.6
6/7/19 13:00,25,132.6,123.9
6/7/19 13:15,25,123.9,107.6
6/7/19 13:30,41,107.6,103.5
6/7/19 13:45,24,103.5,85.1
6/7/19 14:00,24,85.1,73.7
6/7/19 14:15,24,73.7,85.7
6/7/19 14:30,24,85.7,101.7
6/7/19 14:45,25,101.7,103.7
6/7/19 15:00,25,103.7,98.1
6/7/19 15:15,35,98.1,109
6/7/19 15:30,25,109,99.9
6/7/19 15:45,24,99.9,95.1
6/7/19 16:00,24,95.1,135.6
6/7/19 16:15,24,135.6,135.8
6/7/19 16:30,24,135.8,127.8
6/7/19 16:45,24,127.8,136.3
6/7/19 17:00,24,136.3,144.5
6/7/19 17:15,24,144.5,164.2
6/7/19 17:30,24,164.2,145.5
6/7/19 17:45,24,145.5,142.6
6/7/19 18:00,24,142.6,136.1
6/7/19 18:15,24,136.1,116.1
6/7/19 18:30,24,116.1,NaN
6/7/19 18:45,25,NaN,NaN
6/7/19 19:00,31,NaN,NaN
6/7/19 19:15,24,NaN,NaN
6/7/19 19:30,24,NaN,NaN
6/7/19 19:45,25,NaN,NaN
6/7/19 20:00,24,NaN,NaN
6/7/19 20:15,24,NaN,NaN
6/7/19 20:30,25,NaN,NaN
6/7/19 20:45,24,NaN,NaN
6/7/19 21:00,24,NaN,NaN
6/7/19 21:15,24,NaN,NaN
6/7/19 21:30,24,NaN,NaN
6/7/19 21:45,24,NaN,NaN
6/7/19 22:00,24,NaN,NaN
6/7/19 22:15,24,NaN,NaN
6/7/19 22:30,24,NaN,NaN
6/7/19 22:45,24,NaN,NaN
6/7/19 23:00,24,NaN,NaN
6/7/19 23:15,24,NaN,NaN
6/7/19 23:30,24,NaN,NaN
6/7/19 23:45,25,NaN,NaN
7/7/19 0:00,25,NaN,NaN
7/7/19 0:15,25,NaN,NaN
7/7/19 0:30,24,NaN,NaN
7/7/19 0:45,24,NaN,NaN
7/7/19 1:00,24,NaN,NaN
7/7/19 1:15,24,NaN,NaN
7/7/19 1:30,24,NaN,NaN
7/7/19 1:45,24,NaN,NaN
7/7/19 2:00,24,NaN,NaN
7/7/19 2:15,24,NaN,NaN
7/7/19 2:30,24,NaN,NaN
7/7/19 2:45,24,NaN,NaN
7/7/19 3:00,24,NaN,NaN
7/7/19 3:15,25,NaN,NaN
7/7/19 3:30,25,NaN,NaN
7/7/19 3:45,25,NaN,NaN
7/7/19 4:00,25,NaN,NaN
7/7/19 4:15,25,NaN,NaN
7/7/19 4:30,25,NaN,NaN
7/7/19 4:45,25,NaN,NaN
7/7/19 5:00,25,NaN,NaN
7/7/19 5:15,25,NaN,NaN
7/7/19 5:30,25,NaN,NaN
7/7/19 5:45,25,NaN,NaN
7/7/19 6:00,25,NaN,NaN
7/7/19 6:15,25,NaN,NaN
7/7/19 6:30,25,NaN,NaN
7/7/19 6:45,25,NaN,NaN
7/7/19 7:00,25,NaN,NaN
7/7/19 7:15,25,NaN,NaN
7/7/19 7:30,25,NaN,NaN
7/7/19 7:45,25,NaN,NaN
7/7/19 8:00,25,NaN,NaN
7/7/19 8:15,25,NaN,NaN
7/7/19 8:30,25,NaN,NaN
7/7/19 8:45,25,NaN,NaN
7/7/19 9:00,25,NaN,NaN
7/7/19 9:15,25,NaN,NaN
7/7/19 9:30,25,NaN,NaN
7/7/19 9:45,25,NaN,NaN
7/7/19 10:00,25,NaN,NaN
7/7/19 10:15,25,NaN,NaN
7/7/19 10:30,25,NaN,NaN
7/7/19 10:45,25,NaN,NaN
7/7/19 11:00,25,NaN,NaN
7/7/19 11:15,25,NaN,NaN
7/7/19 11:30,25,NaN,NaN
7/7/19 11:45,31,NaN,NaN
7/7/19 12:00,25,NaN,NaN
7/7/19 12:15,25,NaN,NaN
7/7/19 12:30,25,NaN,NaN
7/7/19 12:45,25,NaN,NaN
7/7/19 13:00,25,NaN,NaN
7/7/19 13:15,25,NaN,NaN
7/7/19 13:30,25,NaN,NaN
7/7/19 13:45,25,NaN,NaN
7/7/19 14:00,25,NaN,NaN
7/7/19 14:15,25,NaN,NaN
7/7/19 14:30,25,NaN,NaN
7/7/19 14:45,25,NaN,NaN
7/7/19 15:00,25,NaN,NaN
7/7/19 15:15,25,NaN,NaN
7/7/19 15:30,25,NaN,NaN
7/7/19 15:45,25,NaN,NaN
7/7/19 16:00,25,NaN,NaN
7/7/19 16:15,25,NaN,NaN
7/7/19 16:30,25,NaN,NaN
7/7/19 16:45,25,NaN,NaN
7/7/19 17:00,25,NaN,NaN
7/7/19 17:15,25,NaN,NaN
7/7/19 17:30,25,NaN,NaN
7/7/19 17:45,35,NaN,NaN
7/7/19 18:00,25,NaN,NaN
7/7/19 18:15,25,NaN,NaN
7/7/19 18:30,25,NaN,NaN
7/7/19 18:45,24,NaN,NaN
7/7/19 19:00,24,NaN,NaN
7/7/19 19:15,25,NaN,NaN
7/7/19 19:30,25,NaN,NaN
7/7/19 19:45,25,NaN,NaN
7/7/19 20:00,25,NaN,NaN
7/7/19 20:15,25,NaN,NaN
7/7/19 20:30,25,NaN,NaN
7/7/19 20:45,25,NaN,NaN
7/7/19 21:00,25,NaN,NaN
7/7/19 21:15,25,NaN,NaN
7/7/19 21:30,31,NaN,NaN
7/7/19 21:45,24,NaN,NaN
7/7/19 22:00,24,NaN,NaN
7/7/19 22:15,24,NaN,NaN
7/7/19 22:30,24,NaN,NaN
7/7/19 22:45,24,NaN,NaN
7/7/19 23:00,24,NaN,NaN
7/7/19 23:15,24,NaN,NaN
7/7/19 23:30,24,NaN,NaN
7/7/19 23:45,32,NaN,NaN
8/7/19 0:00,33,NaN,NaN
8/7/19 0:15,24,NaN,NaN
8/7/19 0:30,24,NaN,NaN
8/7/19 0:45,24,NaN,NaN
8/7/19 1:00,24,NaN,NaN
8/7/19 1:15,24,NaN,NaN
8/7/19 1:30,24,NaN,NaN
8/7/19 1:45,24,NaN,NaN
8/7/19 2:00,24,NaN,NaN
8/7/19 2:15,24,NaN,NaN
8/7/19 2:30,30,NaN,NaN
8/7/19 2:45,25,NaN,NaN
8/7/19 3:00,25,NaN,NaN
8/7/19 3:15,25,NaN,NaN
8/7/19 3:30,25,NaN,NaN
8/7/19 3:45,25,NaN,NaN
8/7/19 4:00,25,NaN,NaN
8/7/19 4:15,25,NaN,NaN
8/7/19 4:30,25,NaN,NaN
8/7/19 4:45,25,NaN,NaN
8/7/19 5:00,25,NaN,NaN
8/7/19 5:15,25,NaN,NaN
8/7/19 5:30,0,NaN,NaN
8/7/19 5:45,0,NaN,NaN
8/7/19 6:00,0,NaN,NaN
8/7/19 6:15,0,NaN,NaN
8/7/19 6:30,0,NaN,NaN
8/7/19 6:45,0,NaN,NaN
8/7/19 7:00,0,NaN,NaN
8/7/19 7:15,0,NaN,NaN
8/7/19 7:30,0,NaN,NaN
8/7/19 7:45,0,NaN,NaN
8/7/19 8:00,0,NaN,NaN
8/7/19 8:15,0,NaN,NaN
8/7/19 8:30,0,NaN,NaN
8/7/19 8:45,0,NaN,NaN
8/7/19 9:00,0,NaN,NaN
8/7/19 9:15,0,NaN,NaN
8/7/19 9:30,0,NaN,NaN
8/7/19 9:45,0,NaN,NaN
8/7/19 10:00,0,NaN,95.3
8/7/19 10:15,0,95.3,89.8
8/7/19 10:30,0,89.8,86.5
8/7/19 10:45,0,86.5,82.4
8/7/19 11:00,0,82.4,74.9
8/7/19 11:15,0,74.9,67.9
8/7/19 11:30,0,67.9,65.2
8/7/19 11:45,38,65.2,60
8/7/19 12:00,41,60,50.7
8/7/19 12:15,33,50.7,46.8
8/7/19 12:30,0,46.8,44.8
8/7/19 12:45,0,44.8,43.4
8/7/19 13:00,39,43.4,41.7
8/7/19 13:15,41,41.7,36.8
8/7/19 13:30,39,36.8,36.2
8/7/19 13:45,33,36.2,36.2
8/7/19 14:00,33,36.2,37.5
8/7/19 14:15,24,37.5,35.9
8/7/19 14:30,24,35.9,33.6
8/7/19 14:45,34,33.6,32.5
8/7/19 15:00,33,32.5,32.9
8/7/19 15:15,32,32.9,30.8
8/7/19 15:30,42,30.8,30.6
8/7/19 15:45,35,30.6,32.8
8/7/19 16:00,38,32.8,34.3
8/7/19 16:15,39,34.3,34.9
8/7/19 16:30,33,34.9,35.5
8/7/19 16:45,32,35.5,36.9
8/7/19 17:00,34,36.9,37.9
8/7/19 17:15,24,37.9,38.2
8/7/19 17:30,33,38.2,37.5
8/7/19 17:45,25,37.5,38.5
8/7/19 18:00,31,38.5,40.7
8/7/19 18:15,24,40.7,41.8
8/7/19 18:30,24,41.8,42.3
8/7/19 18:45,24,42.3,45.2
8/7/19 19:00,24,45.2,53.9
8/7/19 19:15,24,53.9,58.9
8/7/19 19:30,24,58.9,61.4
8/7/19 19:45,24,61.4,63.1
8/7/19 20:00,24,63.1,62.7
8/7/19 20:15,24,62.7,61.9
8/7/19 20:30,25,61.9,58.7
8/7/19 20:45,25,58.7,52.4
8/7/19 21:00,25,52.4,53
8/7/19 21:15,25,53,54.8
8/7/19 21:30,25,54.8,51.6
8/7/19 21:45,25,51.6,52.1
8/7/19 22:00,24,52.1,49.4
8/7/19 22:15,24,49.4,50.7
8/7/19 22:30,24,50.7,48.6
8/7/19 22:45,24,48.6,43.9
8/7/19 23:00,24,43.9,43.4
8/7/19 23:15,24,43.4,49.1
8/7/19 23:30,33,49.1,56.2
