newtimestamp,Current Time(seconds),Nox,Nox(target)
06/07/19 0:00,203,130,68.9
06/07/19 0:15,203,68.9,36.7
06/07/19 0:30,257,36.7,34.6
06/07/19 0:45,203,34.6,40.4
06/07/19 1:00,203,40.4,53
06/07/19 1:15,203,53,70.5
06/07/19 1:30,203,70.5,NaN
06/07/19 1:45,203,NaN,NaN
06/07/19 2:00,203,NaN,NaN
06/07/19 2:15,209,NaN,42.6
06/07/19 2:30,209,42.6,41.3
06/07/19 2:45,372,41.3,39.8
06/07/19 3:00,209,39.8,40.6
06/07/19 3:15,209,40.6,46.4
06/07/19 3:30,209,46.4,65.6
06/07/19 3:45,209,65.6,60.5
06/07/19 4:00,209,60.5,68.1
06/07/19 4:15,209,68.1,88.4
06/07/19 4:30,209,88.4,102.7
06/07/19 4:45,209,102.7,92.2
06/07/19 5:00,209,92.2,89.3
06/07/19 5:15,209,89.3,76.5
06/07/19 5:30,209,76.5,80.3
06/07/19 5:45,209,80.3,67.6
06/07/19 6:00,209,67.6,66.2
06/07/19 6:15,209,66.2,67.5
06/07/19 6:30,209,67.5,81.8
06/07/19 6:45,257,81.8,120.5
06/07/19 7:00,268,120.5,135.7
06/07/19 7:15,257,135.7,155
06/07/19 7:30,268,155,137.5
06/07/19 7:45,279,137.5,134.4
06/07/19 8:00,319,134.4,140.6
06/07/19 8:15,291,140.6,137.5
06/07/19 8:30,319,137.5,108.6
06/07/19 8:45,319,108.6,98
06/07/19 9:00,319,98,81.4
06/07/19 9:15,335,81.4,55.9
06/07/19 9:30,335,55.9,43.9
06/07/19 9:45,335,43.9,47
06/07/19 10:00,304,47,53.2
06/07/19 10:15,319,53.2,51.3
06/07/19 10:30,419,51.3,52.5
06/07/19 10:45,335,52.5,52.5
06/07/19 11:00,319,52.5,49.8
06/07/19 11:15,319,49.8,47.5
06/07/19 11:30,419,47.5,45.9
06/07/19 11:45,670,45.9,41.8
06/07/19 12:00,670,41.8,46.2
06/07/19 12:15,670,46.2,56.4
06/07/19 12:30,394,56.4,45.3
06/07/19 12:45,394,45.3,36.5
6/7/19 13:00,319,36.5,32.1
6/7/19 13:15,419,32.1,29.9
6/7/19 13:30,558,29.9,26.9
6/7/19 13:45,515,26.9,25.3
6/7/19 14:00,394,25.3,26.8
6/7/19 14:15,319,26.8,25.6
6/7/19 14:30,394,25.6,34.7
6/7/19 14:45,335,34.7,37.8
6/7/19 15:00,478,37.8,42.8
6/7/19 15:15,419,42.8,47.1
6/7/19 15:30,372,47.1,49.6
6/7/19 15:45,319,49.6,46.8
6/7/19 16:00,304,46.8,43
6/7/19 16:15,319,43,47.6
6/7/19 16:30,352,47.6,48
6/7/19 16:45,335,48,50.2
6/7/19 17:00,352,50.2,62.9
6/7/19 17:15,352,62.9,68.3
6/7/19 17:30,335,68.3,64.8
6/7/19 17:45,335,64.8,58.9
6/7/19 18:00,372,58.9,50.6
6/7/19 18:15,319,50.6,61.8
6/7/19 18:30,304,61.8,70.5
6/7/19 18:45,304,70.5,61.6
6/7/19 19:00,304,61.6,60
6/7/19 19:15,319,60,59.3
6/7/19 19:30,394,59.3,52.2
6/7/19 19:45,478,52.2,44.3
6/7/19 20:00,515,44.3,36.9
6/7/19 20:15,515,36.9,41.1
6/7/19 20:30,372,41.1,39
6/7/19 20:45,352,39,37.1
6/7/19 21:00,335,37.1,39.2
6/7/19 21:15,319,39.2,51.6
6/7/19 21:30,291,51.6,48.8
6/7/19 21:45,268,48.8,56.5
6/7/19 22:00,209,56.5,51.6
6/7/19 22:15,257,51.6,49.6
6/7/19 22:30,268,49.6,51.2
6/7/19 22:45,209,51.2,51.6
6/7/19 23:00,209,51.6,37.9
6/7/19 23:15,209,37.9,32.4
6/7/19 23:30,209,32.4,27.5
6/7/19 23:45,209,27.5,25.5
7/7/19 0:00,203,25.5,26.4
7/7/19 0:15,203,26.4,30.1
7/7/19 0:30,203,30.1,30.4
7/7/19 0:45,203,30.4,24.7
7/7/19 1:00,203,24.7,16.1
7/7/19 1:15,203,16.1,15.2
7/7/19 1:30,203,15.2,NaN
7/7/19 1:45,291,NaN,NaN
7/7/19 2:00,203,NaN,NaN
7/7/19 2:15,203,NaN,20
7/7/19 2:30,203,20,21.6
7/7/19 2:45,203,21.6,22.9
7/7/19 3:00,203,22.9,22.4
7/7/19 3:15,203,22.4,19.9
7/7/19 3:30,203,19.9,19.1
7/7/19 3:45,203,19.1,18.8
7/7/19 4:00,203,18.8,21
7/7/19 4:15,203,21,23.8
7/7/19 4:30,203,23.8,23.9
7/7/19 4:45,203,23.9,21.5
7/7/19 5:00,203,21.5,23.8
7/7/19 5:15,203,23.8,27.4
7/7/19 5:30,203,27.4,27.6
7/7/19 5:45,203,27.6,27.1
7/7/19 6:00,203,27.1,28.9
7/7/19 6:15,203,28.9,29.7
7/7/19 6:30,203,29.7,29.1
7/7/19 6:45,203,29.1,27.7
