newtimestamp,Current Time(seconds),Nox,Nox(target)
06/07/19 0:00,203,74.73,76.13
06/07/19 0:15,203,76.13,76.65
06/07/19 0:30,257,76.65,77.02
06/07/19 0:45,203,77.02,76.9
06/07/19 1:00,203,76.9,74.72
06/07/19 1:15,203,74.72,68.07
06/07/19 1:30,203,68.07,60.68
06/07/19 1:45,203,60.68,54.88
06/07/19 2:00,203,54.88,50.61
06/07/19 2:15,209,50.61,47.5
06/07/19 2:30,209,47.5,45.06
06/07/19 2:45,372,45.06,38.33
06/07/19 3:00,209,38.33,32.48
06/07/19 3:15,209,32.48,27.78
06/07/19 3:30,209,27.78,25.52
06/07/19 3:45,209,25.52,23.68
06/07/19 4:00,209,23.68,22.47
06/07/19 4:15,209,22.47,21.76
06/07/19 4:30,209,21.76,21.51
06/07/19 4:45,209,21.51,21.11
06/07/19 5:00,209,21.11,20.97
06/07/19 5:15,209,20.97,20.98
06/07/19 5:30,209,20.98,21.71
06/07/19 5:45,209,21.71,22.04
06/07/19 6:00,209,22.04,22.58
06/07/19 6:15,209,22.58,23.56
06/07/19 6:30,209,23.56,25.08
06/07/19 6:45,257,25.08,26.29
06/07/19 7:00,268,26.29,33.25
06/07/19 7:15,257,33.25,42.84
06/07/19 7:30,268,42.84,52.94
06/07/19 7:45,279,52.94,63.01
06/07/19 8:00,319,63.01,71.19
06/07/19 8:15,291,71.19,76.78
06/07/19 8:30,319,76.78,80.45
06/07/19 8:45,319,80.45,83.79
06/07/19 9:00,319,83.79,86.41
06/07/19 9:15,335,86.41,88.35
06/07/19 9:30,335,88.35,87.74
06/07/19 9:45,335,87.74,85.07
06/07/19 10:00,304,85.07,82.12
06/07/19 10:15,319,82.12,79.81
06/07/19 10:30,419,79.81,79.07
06/07/19 10:45,335,79.07,78.09
06/07/19 11:00,319,78.09,70.23
06/07/19 11:15,319,70.23,46.48
06/07/19 11:30,419,46.48,35.34
06/07/19 11:45,670,35.34,33.1
06/07/19 12:00,670,33.1,30.26
06/07/19 12:15,670,30.26,27.12
06/07/19 12:30,394,27.12,28.42
06/07/19 12:45,394,28.42,30
6/7/19 13:00,319,30,27.99
6/7/19 13:15,419,27.99,23.47
6/7/19 13:30,558,23.47,23.78
6/7/19 13:45,515,23.78,23.04
6/7/19 14:00,394,23.04,21.98
6/7/19 14:15,319,21.98,21.3
6/7/19 14:30,394,21.3,20.57
6/7/19 14:45,335,20.57,20.12
6/7/19 15:00,478,20.12,20.32
6/7/19 15:15,419,20.32,23.48
6/7/19 15:30,372,23.48,32.59
6/7/19 15:45,319,32.59,41.21
6/7/19 16:00,304,41.21,49.13
6/7/19 16:15,319,49.13,55.32
6/7/19 16:30,352,55.32,60.41
6/7/19 16:45,335,60.41,63.28
6/7/19 17:00,352,63.28,65.88
6/7/19 17:15,352,65.88,67.73
6/7/19 17:30,335,67.73,68.8
6/7/19 17:45,335,68.8,70.76
6/7/19 18:00,372,70.76,72.38
6/7/19 18:15,319,72.38,72.68
6/7/19 18:30,304,72.68,71.84
6/7/19 18:45,304,71.84,71.6
6/7/19 19:00,304,71.6,72.17
6/7/19 19:15,319,72.17,72.57
6/7/19 19:30,394,72.57,62.36
6/7/19 19:45,478,62.36,48.34
6/7/19 20:00,515,48.34,40.29
6/7/19 20:15,515,40.29,35.72
6/7/19 20:30,372,35.72,32.42
6/7/19 20:45,352,32.42,30.67
6/7/19 21:00,335,30.67,28.51
6/7/19 21:15,319,28.51,26.88
6/7/19 21:30,291,26.88,26.28
6/7/19 21:45,268,26.28,25.62
6/7/19 22:00,209,25.62,25.43
6/7/19 22:15,257,25.43,26.15
6/7/19 22:30,268,26.15,26.3
6/7/19 22:45,209,26.3,26.7
6/7/19 23:00,209,26.7,26.68
6/7/19 23:15,209,26.68,26.35
6/7/19 23:30,209,26.35,25.9
6/7/19 23:45,209,25.9,28.99
7/7/19 0:00,203,28.99,36.17
7/7/19 0:15,203,36.17,43.24
7/7/19 0:30,203,43.24,48.85
7/7/19 0:45,203,48.85,53.1
7/7/19 1:00,203,53.1,55.65
7/7/19 1:15,203,55.65,56.89
7/7/19 1:30,203,56.89,57.94
7/7/19 1:45,291,57.94,58.77
7/7/19 2:00,203,58.77,59.36
7/7/19 2:15,203,59.36,60.24
7/7/19 2:30,203,60.24,60.78
7/7/19 2:45,203,60.78,60.96
7/7/19 3:00,203,60.96,61.65
7/7/19 3:15,203,61.65,61.75
7/7/19 3:30,203,61.75,61.73
7/7/19 3:45,203,61.73,60.46
7/7/19 4:00,203,60.46,48.16
7/7/19 4:15,203,48.16,38.28
7/7/19 4:30,203,38.28,33.3
7/7/19 4:45,203,33.3,29.64
7/7/19 5:00,203,29.64,28.39
7/7/19 5:15,203,28.39,26.56
7/7/19 5:30,203,26.56,26.07
7/7/19 5:45,203,26.07,25.81
7/7/19 6:00,203,25.81,26.04
7/7/19 6:15,203,26.04,26.69
7/7/19 6:30,203,26.69,26.05
7/7/19 6:45,203,26.05,26.27
7/7/19 7:00,203,26.27,25.78
7/7/19 7:15,203,25.78,25.85
7/7/19 7:30,203,25.85,25.81
7/7/19 7:45,203,25.81,26.16
7/7/19 8:00,203,26.16,28.6
7/7/19 8:15,203,28.6,35.01
7/7/19 8:30,209,35.01,42.26
7/7/19 8:45,209,42.26,47.66
7/7/19 9:00,319,47.66,51.38
7/7/19 9:15,319,51.38,53.8
7/7/19 9:30,257,53.8,55.87
7/7/19 9:45,203,55.87,57.4
7/7/19 10:00,209,57.4,58.55
7/7/19 10:15,203,58.55,59.75
7/7/19 10:30,335,59.75,61
7/7/19 10:45,319,61,61.89
7/7/19 11:00,268,61.89,62.7
7/7/19 11:15,268,62.7,63.81
7/7/19 11:30,319,63.81,64.54
7/7/19 11:45,319,64.54,65.33
7/7/19 12:00,257,65.33,66.15
7/7/19 12:15,304,66.15,60.46
7/7/19 12:30,335,60.46,44.36
7/7/19 12:45,394,44.36,34.15
7/7/19 13:00,352,34.15,28.67
7/7/19 13:15,335,28.67,25.62
7/7/19 13:30,319,25.62,23.65
7/7/19 13:45,268,23.65,22.5
7/7/19 14:00,279,22.5,21.46
7/7/19 14:15,268,21.46,20.71
7/7/19 14:30,209,20.71,20.44
7/7/19 14:45,279,20.44,19.86
7/7/19 15:00,279,19.86,19.84
7/7/19 15:15,268,19.84,19.45
7/7/19 15:30,268,19.45,19.45
7/7/19 15:45,268,19.45,18.84
7/7/19 16:00,279,18.84,18.99
7/7/19 16:15,279,18.99,18.9
7/7/19 16:30,279,18.9,22.86
7/7/19 16:45,335,22.86,32.89
7/7/19 17:00,335,32.89,43.63
7/7/19 17:15,304,43.63,52.55
7/7/19 17:30,304,52.55,60.27
7/7/19 17:45,319,60.27,63.26
7/7/19 18:00,291,63.26,60.7
7/7/19 18:15,291,60.7,57.68
7/7/19 18:30,352,57.68,55.62
7/7/19 18:45,291,55.62,54.28
7/7/19 19:00,268,54.28,53.19
7/7/19 19:15,304,53.19,53.44
7/7/19 19:30,304,53.44,54.39
7/7/19 19:45,291,54.39,54.88
7/7/19 20:00,335,54.88,55.55
7/7/19 20:15,304,55.55,56
7/7/19 20:30,291,56,56.53
7/7/19 20:45,268,56.53,53.21
7/7/19 21:00,268,53.21,47.01
7/7/19 21:15,279,47.01,43.4
7/7/19 21:30,203,43.4,41.92
7/7/19 21:45,203,41.92,41.99
7/7/19 22:00,203,41.99,42.72
7/7/19 22:15,203,42.72,43.59
7/7/19 22:30,203,43.59,44.61
7/7/19 22:45,203,44.61,45.86
7/7/19 23:00,203,45.86,47.27
7/7/19 23:15,203,47.27,47.47
7/7/19 23:30,203,47.47,47.22
7/7/19 23:45,203,47.22,48.04
8/7/19 0:00,203,48.04,49.04
8/7/19 0:15,203,49.04,49.9
8/7/19 0:30,203,49.9,50.69
8/7/19 0:45,203,50.69,50.88
8/7/19 1:00,203,50.88,54.24
8/7/19 1:15,203,54.24,60.52
8/7/19 1:30,203,60.52,66.52
8/7/19 1:45,209,66.52,71.52
8/7/19 2:00,209,71.52,75.92
8/7/19 2:15,209,75.92,78.86
8/7/19 2:30,291,78.86,80.99
8/7/19 2:45,209,80.99,82.81
8/7/19 3:00,209,82.81,84.22
8/7/19 3:15,209,84.22,84.79
8/7/19 3:30,209,84.79,85.44
8/7/19 3:45,209,85.44,85.8
8/7/19 4:00,209,85.8,86.26
8/7/19 4:15,209,86.26,86.44
8/7/19 4:30,209,86.44,86.6
8/7/19 4:45,209,86.6,86.6
8/7/19 5:00,209,86.6,83.84
8/7/19 5:15,209,83.84,65.16
8/7/19 5:30,0,65.16,51.46
8/7/19 5:45,0,51.46,44.92
8/7/19 6:00,0,44.92,41.26
8/7/19 6:15,0,41.26,39.15
8/7/19 6:30,0,39.15,37.78
8/7/19 6:45,0,37.78,37.32
8/7/19 7:00,0,37.32,38.3
8/7/19 7:15,0,38.3,38.89
8/7/19 7:30,0,38.89,40.03
8/7/19 7:45,0,40.03,41.33
8/7/19 8:00,0,41.33,43.47
8/7/19 8:15,0,43.47,45.05
8/7/19 8:30,0,45.05,45.86
8/7/19 8:45,0,45.86,44.9
8/7/19 9:00,0,44.9,43.63
8/7/19 9:15,0,43.63,43.2
8/7/19 9:30,0,43.2,48.45
8/7/19 9:45,0,48.45,55.71
8/7/19 10:00,0,55.71,61.69
8/7/19 10:15,0,61.69,66.13
8/7/19 10:30,0,66.13,69.28
8/7/19 10:45,0,69.28,71.29
8/7/19 11:00,0,71.29,72.65
8/7/19 11:15,0,72.65,74.01
8/7/19 11:30,0,74.01,74.69
8/7/19 11:45,515,74.69,76.25
8/7/19 12:00,609,76.25,78.05
8/7/19 12:15,558,78.05,78.98
8/7/19 12:30,0,78.98,79.9
8/7/19 12:45,0,79.9,80.64
8/7/19 13:00,1117,80.64,80.22
8/7/19 13:15,515,80.22,72.93
8/7/19 13:30,744,72.93,61.15
8/7/19 13:45,558,61.15,44.69
8/7/19 14:00,515,44.69,34.36
8/7/19 14:15,446,34.36,28.56
8/7/19 14:30,670,28.56,25.08
8/7/19 14:45,558,25.08,22.88
8/7/19 15:00,558,22.88,21.6
8/7/19 15:15,609,21.6,20.92
8/7/19 15:30,372,20.92,19.88
8/7/19 15:45,335,19.88,19.43
8/7/19 16:00,335,19.43,19.24
8/7/19 16:15,352,19.24,18.81
8/7/19 16:30,372,18.81,18.63
8/7/19 16:45,394,18.63,18.5
8/7/19 17:00,352,18.5,18.16
8/7/19 17:15,446,18.16,18.33
8/7/19 17:30,394,18.33,18.91
8/7/19 17:45,335,18.91,24.01
8/7/19 18:00,304,24.01,34.96
8/7/19 18:15,268,34.96,46.56
8/7/19 18:30,335,46.56,50.55
8/7/19 18:45,446,50.55,51.01
8/7/19 19:00,394,51.01,50.6
8/7/19 19:15,372,50.6,49.58
8/7/19 19:30,352,49.58,49.32
8/7/19 19:45,515,49.32,48.81
8/7/19 20:00,446,48.81,48.7
8/7/19 20:15,394,48.7,48.9
8/7/19 20:30,372,48.9,49.22
8/7/19 20:45,291,49.22,49.42
8/7/19 21:00,304,49.42,49.46
8/7/19 21:15,335,49.46,49.28
8/7/19 21:30,304,49.28,49.06
8/7/19 21:45,268,49.06,48.6
8/7/19 22:00,257,48.6,43.16
8/7/19 22:15,319,43.16,34.9
8/7/19 22:30,209,34.9,29.04
8/7/19 22:45,203,29.04,25.72
8/7/19 23:00,209,25.72,23.45
8/7/19 23:15,209,23.45,22.19
8/7/19 23:30,419,22.19,21.4
8/7/19 23:45,203,21.4,20.7
9/7/19 0:00,203,20.7,20.64
9/7/19 0:15,203,20.64,20.38
9/7/19 0:30,203,20.38,20.39
9/7/19 0:45,203,20.39,20.42
9/7/19 1:00,203,20.42,20.62
9/7/19 1:15,203,20.62,20.7
9/7/19 1:30,203,20.7,21.11
9/7/19 1:45,209,21.11,21.51
9/7/19 2:00,209,21.51,23.15
9/7/19 2:15,257,23.15,29.9
9/7/19 2:30,268,29.9,38.52
9/7/19 2:45,257,38.52,47.68
9/7/19 3:00,209,47.68,55.03
9/7/19 3:15,209,55.03,61.28
9/7/19 3:30,209,61.28,66.36
9/7/19 3:45,209,66.36,70.03
9/7/19 4:00,209,70.03,73.1
9/7/19 4:15,209,73.1,75.39
9/7/19 4:30,209,75.39,77.32
9/7/19 4:45,209,77.32,78.61
9/7/19 5:00,209,78.61,79.78
9/7/19 5:15,209,79.78,80.23
9/7/19 5:30,209,80.23,80.37
9/7/19 5:45,209,80.37,80.82
9/7/19 6:00,209,80.82,81.9
9/7/19 6:15,209,81.9,77.91
9/7/19 6:30,209,77.91,56.86
9/7/19 6:45,209,56.86,42.9
9/7/19 7:00,209,42.9,36.19
9/7/19 7:15,209,36.19,31.87
9/7/19 7:30,209,31.87,29.91
9/7/19 7:45,209,29.91,29.17
9/7/19 8:00,209,29.17,27.96
9/7/19 8:15,304,27.96,26.83
9/7/19 8:30,279,26.83,26.13
9/7/19 8:45,446,26.13,24.97
9/7/19 9:00,279,24.97,24.62
9/7/19 9:15,0,24.62,24.66
9/7/19 9:30,0,24.66,23.59
9/7/19 9:45,0,23.59,23.68
9/7/19 10:00,0,23.68,23.53
9/7/19 10:15,0,23.53,23.19
9/7/19 10:30,0,23.19,24.57
9/7/19 10:45,0,24.57,32.31
9/7/19 11:00,0,32.31,40.66
9/7/19 11:15,0,40.66,46.48
9/7/19 11:30,0,46.48,50.08
9/7/19 11:45,0,50.08,52.24
9/7/19 12:00,0,52.24,53.98
9/7/19 12:15,0,53.98,56.13
9/7/19 12:30,352,56.13,57.65
9/7/19 12:45,335,57.65,59.57
9/7/19 13:00,515,59.57,61.01
9/7/19 13:15,419,61.01,NaN
9/7/19 13:30,515,NaN,NaN
9/7/19 13:45,394,NaN,NaN
9/7/19 14:00,515,NaN,NaN
9/7/19 14:15,319,NaN,NaN
9/7/19 14:30,291,NaN,NaN
9/7/19 14:45,319,NaN,NaN
9/7/19 15:00,319,NaN,NaN
9/7/19 15:15,372,NaN,NaN
9/7/19 15:30,394,NaN,NaN
9/7/19 15:45,335,NaN,NaN
9/7/19 16:00,291,NaN,NaN
9/7/19 16:15,419,NaN,NaN
9/7/19 16:30,319,NaN,NaN
9/7/19 16:45,291,NaN,NaN
9/7/19 17:00,335,NaN,NaN
9/7/19 17:15,319,NaN,NaN
9/7/19 17:30,372,NaN,NaN
9/7/19 17:45,335,NaN,NaN
9/7/19 18:00,372,NaN,NaN
9/7/19 18:15,335,NaN,NaN
9/7/19 18:30,304,NaN,NaN
9/7/19 18:45,335,NaN,NaN
9/7/19 19:00,352,NaN,NaN
9/7/19 19:15,352,NaN,NaN
9/7/19 19:30,319,NaN,NaN
9/7/19 19:45,319,NaN,NaN
9/7/19 20:00,335,NaN,NaN
9/7/19 20:15,352,NaN,NaN
9/7/19 20:30,352,NaN,NaN
9/7/19 20:45,304,NaN,NaN
9/7/19 21:00,291,NaN,NaN
9/7/19 21:15,279,NaN,NaN
9/7/19 21:30,291,NaN,NaN
9/7/19 21:45,257,NaN,NaN
9/7/19 22:00,257,NaN,NaN
9/7/19 22:15,209,NaN,NaN
9/7/19 22:30,203,NaN,NaN
9/7/19 22:45,203,NaN,NaN
9/7/19 23:00,203,NaN,NaN
9/7/19 23:15,203,NaN,NaN
9/7/19 23:30,203,NaN,NaN
9/7/19 23:45,203,NaN,NaN
10/7/19 0:00,203,NaN,38.69
10/7/19 0:15,203,38.69,36.8
10/7/19 0:30,203,36.8,33.87
10/7/19 0:45,203,33.87,31.78
10/7/19 1:00,203,31.78,30.04
10/7/19 1:15,203,30.04,28.35
10/7/19 1:30,203,28.35,27.4
10/7/19 1:45,203,27.4,26.7
10/7/19 2:00,203,26.7,26.18
10/7/19 2:15,209,26.18,25.14
10/7/19 2:30,209,25.14,24.91
10/7/19 2:45,209,24.91,24.83
10/7/19 3:00,209,24.83,24.86
10/7/19 3:15,209,24.86,25.99
10/7/19 3:30,209,25.99,33.31
10/7/19 3:45,209,33.31,43.01
10/7/19 4:00,209,43.01,52.25
10/7/19 4:15,209,52.25,60
10/7/19 4:30,209,60,66.22
10/7/19 4:45,279,66.22,69.84
10/7/19 5:00,203,69.84,72.37
10/7/19 5:15,203,72.37,74.28
10/7/19 5:30,203,74.28,76.28
10/7/19 5:45,203,76.28,77.34
10/7/19 6:00,203,77.34,78.95
10/7/19 6:15,257,78.95,81.08
10/7/19 6:30,209,81.08,81.8
10/7/19 6:45,209,81.8,81.55
10/7/19 7:00,209,81.55,82.16
10/7/19 7:15,279,82.16,82.35
10/7/19 7:30,209,82.35,76.35
10/7/19 7:45,279,76.35,57.17
10/7/19 8:00,291,57.17,44.97
10/7/19 8:15,291,44.97,38.43
10/7/19 8:30,304,38.43,35.22
10/7/19 8:45,319,35.22,32.68
10/7/19 9:00,304,32.68,30.74
10/7/19 9:15,291,30.74,29.46
10/7/19 9:30,268,29.46,28.29
10/7/19 9:45,304,28.29,28
10/7/19 10:00,291,28,27.36
10/7/19 10:15,319,27.36,26.43
10/7/19 10:30,319,26.43,25.84
10/7/19 10:45,394,25.84,25.07
10/7/19 11:00,394,25.07,24.41
10/7/19 11:15,352,24.41,23.9
10/7/19 11:30,478,23.9,23.82
10/7/19 11:45,335,23.82,25.86
10/7/19 12:00,394,25.86,34.57
10/7/19 12:15,394,34.57,44.38
10/7/19 12:30,419,44.38,54.12
10/7/19 12:45,419,54.12,61.46
10/7/19 13:00,394,61.46,67.6
10/7/19 13:15,394,67.6,73
10/7/19 13:30,372,73,76.95
10/7/19 13:45,372,76.95,75.28
10/7/19 14:00,319,75.28,68.8
10/7/19 14:15,319,68.8,63.1
10/7/19 14:30,394,63.1,58.53
10/7/19 14:45,394,58.53,55.22
10/7/19 15:00,352,55.22,52.81
10/7/19 15:15,319,52.81,51
10/7/19 15:30,335,51,50.12
10/7/19 15:45,372,50.12,49.11
10/7/19 16:00,335,49.11,43.5
10/7/19 16:15,304,43.5,34.44
10/7/19 16:30,304,34.44,28.25
10/7/19 16:45,335,28.25,24.41
10/7/19 17:00,304,24.41,22.41
10/7/19 17:15,291,22.41,20.94
10/7/19 17:30,335,20.94,19.88
10/7/19 17:45,304,19.88,19.35
10/7/19 18:00,478,19.35,19.11
10/7/19 18:15,446,19.11,19.27
10/7/19 18:30,291,19.27,19.36
10/7/19 18:45,291,19.36,19.48
10/7/19 19:00,304,19.48,19.63
10/7/19 19:15,335,19.63,20.2
10/7/19 19:30,372,20.2,21.49
10/7/19 19:45,372,21.49,24.09
10/7/19 20:00,419,24.09,27.13
10/7/19 20:15,352,27.13,36.9
10/7/19 20:30,394,36.9,51.65
10/7/19 20:45,372,51.65,62.38
10/7/19 21:00,372,62.38,68.26
10/7/19 21:15,319,68.26,71.72
10/7/19 21:30,304,71.72,72.61
10/7/19 21:45,257,72.61,73.13
10/7/19 22:00,268,73.13,73.11
10/7/19 22:15,279,73.11,73.15
10/7/19 22:30,203,73.15,72.89
10/7/19 22:45,209,72.89,73.03
10/7/19 23:00,209,73.03,72.63
10/7/19 23:15,209,72.63,72.4
10/7/19 23:30,209,72.4,71.57
10/7/19 23:45,209,71.57,70.5
11/7/19 0:00,209,70.5,69.59
11/7/19 0:15,209,69.59,68.71
11/7/19 0:30,209,68.71,64.26
11/7/19 0:45,209,64.26,57.61
11/7/19 1:00,209,57.61,53.18
11/7/19 1:15,209,53.18,50.33
11/7/19 1:30,209,50.33,49.03
11/7/19 1:45,209,49.03,47.91
11/7/19 2:00,209,47.91,47.51
11/7/19 2:15,209,47.51,47.36
11/7/19 2:30,209,47.36,47.36
11/7/19 2:45,209,47.36,47.19
11/7/19 3:00,209,47.19,46.57
11/7/19 3:15,209,46.57,45.48
11/7/19 3:30,209,45.48,44.66
11/7/19 3:45,209,44.66,43.84
11/7/19 4:00,209,43.84,43.19
11/7/19 4:15,209,43.19,43.63
11/7/19 4:30,209,43.63,45.19
11/7/19 4:45,209,45.19,51.98
11/7/19 5:00,209,51.98,61.68
11/7/19 5:15,209,61.68,69.6
11/7/19 5:30,209,69.6,76.01
11/7/19 5:45,209,76.01,80.65
11/7/19 6:00,209,80.65,83.48
11/7/19 6:15,209,83.48,85.33
11/7/19 6:30,209,85.33,87.01
11/7/19 6:45,209,87.01,88.64
11/7/19 7:00,209,88.64,89.7
11/7/19 7:15,209,89.7,91.99
11/7/19 7:30,209,91.99,93.53
11/7/19 7:45,209,93.53,96.76
11/7/19 8:00,203,96.76,98.84
11/7/19 8:15,268,98.84,99.16
11/7/19 8:30,279,99.16,98.28
11/7/19 8:45,268,98.28,90.12
11/7/19 9:00,304,90.12,69.58
11/7/19 9:15,319,69.58,56.04
11/7/19 9:30,319,56.04,47.61
11/7/19 9:45,394,47.61,41.71
11/7/19 10:00,335,41.71,37.71
11/7/19 10:15,335,37.71,35.24
11/7/19 10:30,372,35.24,33.17
11/7/19 10:45,419,33.17,30.9
11/7/19 11:00,352,30.9,28.8
11/7/19 11:15,335,28.8,28.25
11/7/19 11:30,372,28.25,27.77
11/7/19 11:45,515,27.77,27.12
11/7/19 12:00,515,27.12,27.06
11/7/19 12:15,609,27.06,26.66
11/7/19 12:30,394,26.66,26.1
11/7/19 12:45,394,26.1,25.93
11/7/19 13:00,394,25.93,29.36
11/7/19 13:15,394,29.36,40.39
11/7/19 13:30,335,40.39,52.52
11/7/19 13:45,352,52.52,63.29
11/7/19 14:00,372,63.29,72.15
11/7/19 14:15,372,72.15,79.37
