newtimestamp,Current Time(seconds),Nox,Nox(target)
06/07/19 0:00,110,116.6,79.9
06/07/19 0:15,41,79.9,71.9
06/07/19 0:30,41,71.9,42.2
06/07/19 0:45,41,42.2,39.8
06/07/19 1:00,41,39.8,43.1
06/07/19 1:15,41,43.1,45
06/07/19 1:30,41,45,45.2
06/07/19 1:45,41,45.2,NaN
06/07/19 2:00,41,NaN,NaN
06/07/19 2:15,41,NaN,52.8
06/07/19 2:30,41,52.8,56.9
06/07/19 2:45,41,56.9,49.9
06/07/19 3:00,41,49.9,45.5
06/07/19 3:15,41,45.5,43
06/07/19 3:30,41,43,41.5
06/07/19 3:45,41,41.5,42.8
06/07/19 4:00,41,42.8,44
06/07/19 4:15,41,44,43.1
06/07/19 4:30,41,43.1,42.4
06/07/19 4:45,41,42.4,40.3
06/07/19 5:00,41,40.3,39
06/07/19 5:15,41,39,40.4
06/07/19 5:30,41,40.4,48.6
06/07/19 5:45,41,48.6,58.3
06/07/19 6:00,41,58.3,59.8
06/07/19 6:15,41,59.8,66.1
06/07/19 6:30,41,66.1,74.9
06/07/19 6:45,41,74.9,107.3
06/07/19 7:00,41,107.3,180.8
06/07/19 7:15,41,180.8,157.2
06/07/19 7:30,41,157.2,145.7
06/07/19 7:45,41,145.7,122.1
06/07/19 8:00,41,122.1,101.8
06/07/19 8:15,41,101.8,107.1
06/07/19 8:30,41,107.1,113.2
06/07/19 8:45,55,113.2,117
06/07/19 9:00,56,117,123.5
06/07/19 9:15,41,123.5,148.7
06/07/19 9:30,55,148.7,138.3
06/07/19 9:45,41,138.3,123.6
06/07/19 10:00,56,123.6,115.4
06/07/19 10:15,41,115.4,144.8
06/07/19 10:30,55,144.8,113.9
06/07/19 10:45,56,113.9,80.9
06/07/19 11:00,56,80.9,93.7
06/07/19 11:15,55,93.7,102.9
06/07/19 11:30,82,102.9,116.5
06/07/19 11:45,75,116.5,100.6
06/07/19 12:00,56,100.6,98.1
06/07/19 12:15,118,98.1,107.4
06/07/19 12:30,78,107.4,95.5
06/07/19 12:45,0,95.5,90.1
06/07/19 13:00,103,90.1,90.3
06/07/19 13:15,68,90.3,79.4
06/07/19 13:30,137,79.4,62.3
06/07/19 13:45,66,62.3,60.8
06/07/19 14:00,78,60.8,33.1
06/07/19 14:15,63,33.1,63.9
06/07/19 14:30,110,63.9,108.4
06/07/19 14:45,71,108.4,92.5
06/07/19 15:00,97,92.5,78.7
06/07/19 15:15,82,78.7,63.4
06/07/19 15:30,75,63.4,69.9
06/07/19 15:45,51,69.9,86.9
06/07/19 16:00,97,86.9,102.8
06/07/19 16:15,75,102.8,70.8
06/07/19 16:30,66,70.8,69.5
06/07/19 16:45,56,69.5,81
06/07/19 17:00,59,81,136.8
06/07/19 17:15,71,136.8,96.1
06/07/19 17:30,55,96.1,106.5
06/07/19 17:45,75,106.5,85.1
06/07/19 18:00,63,85.1,79.8
06/07/19 18:15,59,79.8,94
06/07/19 18:30,59,94,101.3
06/07/19 18:45,68,101.3,87.5
06/07/19 19:00,56,87.5,105.5
06/07/19 19:15,66,105.5,96.3
06/07/19 19:30,59,96.3,100.4
06/07/19 19:45,68,100.4,108.4
06/07/19 20:00,183,108.4,93.8
06/07/19 20:15,236,93.8,112.6
06/07/19 20:30,183,112.6,77.6
06/07/19 20:45,61,77.6,91.4
06/07/19 21:00,53,91.4,90.9
06/07/19 21:15,97,90.9,75.1
06/07/19 21:30,59,75.1,84.6
06/07/19 21:45,71,84.6,83.6
06/07/19 22:00,41,83.6,81.3
06/07/19 22:15,41,81.3,104.5
06/07/19 22:30,41,104.5,90.9
06/07/19 22:45,41,90.9,88.6
06/07/19 23:00,42,88.6,106.6
06/07/19 23:15,42,106.6,106.4
06/07/19 23:30,41,106.4,70.3
06/07/19 23:45,110,70.3,62.1
07/07/19 0:00,42,62.1,52
07/07/19 0:15,42,52,62.7
07/07/19 0:30,42,62.7,61
07/07/19 0:45,42,61,49.3
07/07/19 1:00,42,49.3,42.9
07/07/19 1:15,42,42.9,37.2
07/07/19 1:30,42,37.2,30.4
07/07/19 1:45,42,30.4,NaN
07/07/19 2:00,42,NaN,NaN
07/07/19 2:15,42,NaN,29.1
07/07/19 2:30,42,29.1,41.5
07/07/19 2:45,42,41.5,38.5
07/07/19 3:00,42,38.5,37.8
07/07/19 3:15,42,37.8,40.3
07/07/19 3:30,42,40.3,38.4
07/07/19 3:45,42,38.4,37.5
07/07/19 4:00,42,37.5,46.8
07/07/19 4:15,42,46.8,44.5
07/07/19 4:30,42,44.5,40.8
07/07/19 4:45,42,40.8,34.4
07/07/19 5:00,42,34.4,37.4
07/07/19 5:15,42,37.4,37.7
07/07/19 5:30,42,37.7,41
07/07/19 5:45,42,41,40.6
07/07/19 6:00,42,40.6,38.9
07/07/19 6:15,42,38.9,38.5
