timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:07.805187,FRC2,23,44,33,31
2019-06-28 13:59:23.644681,FRC2,23,43,23,43
2019-06-28 14:20:14.158905,FRC2,23,44,23,44
2019-06-28 14:35:18.838238,FRC2,23,43,35,29
2019-06-28 14:50:21.114637,FRC2,23,43,60,17
2019-06-28 15:05:24.427602,FRC2,23,43,38,27
2019-06-28 15:20:30.928627,FRC2,23,43,31,33
2019-06-28 15:35:32.671227,FRC2,23,44,30,34
2019-06-28 15:50:34.345931,FRC2,23,43,35,29
2019-06-28 16:05:37.577583,FRC2,23,44,23,44
2019-06-28 16:20:42.298163,FRC2,23,44,23,44
2019-06-28 16:35:46.096680,FRC2,23,43,32,32
2019-06-28 16:50:49.319663,FRC2,23,44,32,32
2019-06-28 17:05:53.778269,FRC2,23,43,23,43
2019-06-28 17:20:55.298772,FRC2,23,44,23,44
2019-06-28 17:35:59.133280,FRC2,23,44,32,32
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:19.819437,FRC2,23,43,35,29
2019-07-02 11:51:22.807958,FRC2,23,43,34,30
2019-07-02 12:06:23.990831,FRC2,23,43,39,26
2019-07-02 12:21:25.834019,FRC2,23,44,32,32
2019-07-02 12:36:32.069604,FRC2,23,43,46,22
2019-07-02 12:51:33.739253,FRC2,23,44,38,27
2019-07-02 13:06:35.683562,FRC2,23,43,44,23
2019-07-02 13:21:38.401571,FRC2,23,44,33,31
2019-07-02 13:36:40.285912,FRC2,23,43,41,25
2019-07-02 13:51:41.916958,FRC2,23,44,46,22
2019-07-02 14:06:43.096427,FRC2,23,44,39,26
2019-07-02 14:21:44.375561,FRC2,23,44,36,28
2019-07-02 14:36:45.846995,FRC2,23,44,33,31
2019-07-02 14:51:46.969310,FRC2,23,44,23,44
2019-07-02 15:06:48.041217,FRC2,23,44,38,27
2019-07-02 15:21:49.938830,FRC2,23,43,32,32
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.398384,FRC2,22,45,44,23
2019-07-02 11:53:42.652058,FRC2,23,44,32,32
2019-07-02 12:08:45.137121,FRC2,23,44,29,35
2019-07-02 12:23:47.751457,FRC2,23,43,44,23
2019-07-02 12:38:49.341570,FRC2,23,44,38,27
2019-07-02 12:53:54.644281,FRC2,23,44,38,27
2019-07-02 13:08:56.859437,FRC2,23,44,31,33
2019-07-02 13:23:58.632363,FRC2,23,43,39,26
2019-07-02 13:39:00.779800,FRC2,23,43,38,27
2019-07-02 13:54:02.410322,FRC2,23,44,49,21
2019-07-02 14:09:03.891069,FRC2,23,44,33,31
2019-07-02 14:24:05.215545,FRC2,23,44,36,28
2019-07-02 14:39:06.631658,FRC2,23,43,36,28
2019-07-02 14:54:07.817075,FRC2,23,43,23,43
2019-07-02 15:09:11.161418,FRC2,23,44,36,28
2019-07-02 15:24:12.721642,FRC2,23,44,31,33
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:34.250793,FRC2,23,44,36,28
2019-07-02 13:05:38.377610,FRC2,23,44,42,24
2019-07-02 13:20:40.044560,FRC2,23,44,33,31
2019-07-02 13:35:42.532338,FRC2,23,43,41,25
2019-07-02 13:50:46.417316,FRC2,23,43,49,21
2019-07-02 14:05:53.016624,FRC2,23,44,38,27
2019-07-02 14:20:54.644181,FRC2,23,43,23,43
2019-07-02 14:35:56.076178,FRC2,23,44,35,29
2019-07-02 14:50:57.281024,FRC2,23,44,23,44
2019-07-02 15:06:00.485004,FRC2,23,44,38,27
2019-07-02 15:21:01.896900,FRC2,23,43,32,32
2019-07-02 15:36:08.297959,FRC2,23,44,42,24
2019-07-02 15:51:09.785300,FRC2,23,44,23,44
2019-07-02 16:06:11.244528,FRC2,23,43,46,22
2019-07-02 16:21:12.435437,FRC2,23,43,31,33
2019-07-02 16:36:13.578868,FRC2,23,44,30,34
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:49.221113,FRC2,23,44,23,44
2019-07-02 15:45:53.924840,FRC2,23,44,23,44
2019-07-02 16:00:55.455955,FRC2,23,44,51,20
2019-07-02 16:15:57.091176,FRC2,23,43,44,23
2019-07-02 16:30:58.912094,FRC2,23,43,23,43
2019-07-02 16:46:01.520498,FRC2,23,44,34,30
2019-07-02 17:01:03.328869,FRC2,23,44,30,34
2019-07-02 17:16:05.981383,FRC2,23,43,33,31
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185195,FRC2,23,44,23,44
2019-07-02 15:45:57.767672,FRC2,23,44,23,44
2019-07-02 16:00:58.949521,FRC2,23,44,51,20
2019-07-02 16:16:00.370972,FRC2,23,43,44,23
2019-07-02 16:31:01.691244,FRC2,23,43,23,43
2019-07-02 16:46:03.119335,FRC2,23,44,34,30
2019-07-02 17:01:04.262841,FRC2,23,44,30,34
2019-07-02 17:16:06.110690,FRC2,23,43,33,31
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:31:13.183367,FRC2,23,44,23,44
2019-07-02 15:46:14.816564,FRC2,23,44,23,44
2019-07-02 16:01:16.707191,FRC2,23,44,51,20
2019-07-02 16:16:17.969072,FRC2,23,43,44,23
2019-07-02 16:31:19.207050,FRC2,23,43,23,43
2019-07-02 16:46:20.560936,FRC2,23,44,34,30
2019-07-02 17:01:21.703884,FRC2,23,44,30,34
2019-07-02 17:16:27.345475,FRC2,23,43,33,31
