timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:07.755848,FRC1,63,38,105,23
2019-06-28 13:59:23.006968,FRC1,63,38,92,26
2019-06-28 14:20:16.436765,FRC1,65,37,115,21
2019-06-28 14:35:18.765926,FRC1,67,36,219,11
2019-06-28 14:50:22.998851,FRC1,61,39,142,17
2019-06-28 15:05:24.733085,FRC1,65,37,172,14
2019-06-28 15:20:28.359627,FRC1,63,38,161,15
2019-06-28 15:35:32.671102,FRC1,63,38,142,17
2019-06-28 15:50:34.369806,FRC1,61,39,151,16
2019-06-28 16:05:37.577843,FRC1,63,38,115,21
2019-06-28 16:20:41.103901,FRC1,65,37,134,18
2019-06-28 16:35:45.988968,FRC1,63,38,185,13
2019-06-28 16:50:50.059022,FRC1,67,36,219,11
2019-06-28 17:05:53.772324,FRC1,65,37,161,15
2019-06-28 17:20:55.329283,FRC1,63,38,151,16
2019-06-28 17:36:01.780515,FRC1,65,37,172,14
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:19.930541,FRC1,61,39,134,18
2019-07-02 11:51:23.626036,FRC1,65,37,161,15
2019-07-02 12:06:25.053349,FRC1,65,37,185,13
2019-07-02 12:21:26.416790,FRC1,63,38,161,15
2019-07-02 12:36:27.682405,FRC1,63,38,161,15
2019-07-02 12:51:30.054075,FRC1,61,39,172,14
2019-07-02 13:06:32.244443,FRC1,63,38,115,21
2019-07-02 13:21:36.395548,FRC1,63,38,86,28
2019-07-02 13:36:37.796147,FRC1,65,37,172,14
2019-07-02 13:51:39.459535,FRC1,63,38,120,20
2019-07-02 14:06:41.046538,FRC1,65,37,172,14
2019-07-02 14:21:42.453884,FRC1,63,38,142,17
2019-07-02 14:36:43.800694,FRC1,65,37,134,18
2019-07-02 14:51:44.961947,FRC1,61,39,127,19
2019-07-02 15:06:46.186210,FRC1,65,37,127,19
2019-07-02 15:21:47.510401,FRC1,63,38,161,15
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.404937,FRC1,65,37,161,15
2019-07-02 11:53:42.772808,FRC1,65,37,172,14
2019-07-02 12:08:44.113751,FRC1,61,39,161,15
2019-07-02 12:23:47.824495,FRC1,61,39,172,14
2019-07-02 12:38:49.297844,FRC1,67,36,201,12
2019-07-02 12:53:51.779178,FRC1,65,37,185,13
2019-07-02 13:08:53.739357,FRC1,65,37,100,24
2019-07-02 13:23:55.561084,FRC1,63,38,96,25
2019-07-02 13:38:57.707456,FRC1,65,37,120,20
2019-07-02 13:54:00.161028,FRC1,63,38,142,17
2019-07-02 14:09:02.046146,FRC1,63,38,161,15
2019-07-02 14:24:04.400541,FRC1,65,37,185,13
2019-07-02 14:39:05.551833,FRC1,65,37,120,20
2019-07-02 14:54:08.380120,FRC1,65,37,109,22
2019-07-02 15:09:09.522132,FRC1,63,38,161,15
2019-07-02 15:24:14.364803,FRC1,63,38,134,18
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:34.492395,FRC1,65,37,219,11
2019-07-02 13:05:36.124448,FRC1,63,38,134,18
2019-07-02 13:20:39.665179,FRC1,63,38,86,28
2019-07-02 13:35:43.148234,FRC1,65,37,172,14
2019-07-02 13:50:46.417161,FRC1,65,37,134,18
2019-07-02 14:05:50.637873,FRC1,65,37,172,14
2019-07-02 14:20:52.228701,FRC1,65,37,172,14
2019-07-02 14:35:55.271586,FRC1,63,38,142,17
2019-07-02 14:50:56.952628,FRC1,61,39,127,19
2019-07-02 15:06:02.694859,FRC1,65,37,127,19
2019-07-02 15:21:04.193637,FRC1,63,38,161,15
2019-07-02 15:36:05.635914,FRC1,67,36,201,12
2019-07-02 15:51:07.278180,FRC1,63,38,120,20
2019-07-02 16:06:08.697549,FRC1,65,37,65,37
2019-07-02 16:21:11.348626,FRC1,63,38,115,21
2019-07-02 16:36:15.968893,FRC1,65,37,185,13
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185786,FRC1,63,38,151,16
2019-07-02 15:45:57.902624,FRC1,65,37,201,12
2019-07-02 16:00:59.098383,FRC1,63,38,80,30
2019-07-02 16:16:00.777645,FRC1,65,37,109,22
2019-07-02 16:31:01.864963,FRC1,65,37,161,15
2019-07-02 16:46:03.242621,FRC1,65,37,161,15
2019-07-02 17:01:04.315830,FRC1,63,38,127,19
2019-07-02 17:16:06.075593,FRC1,63,38,185,13
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:50.858158,FRC1,63,38,151,16
2019-07-02 15:45:52.741247,FRC1,65,37,201,12
2019-07-02 16:00:54.157748,FRC1,63,38,80,30
2019-07-02 16:15:56.682361,FRC1,65,37,109,22
2019-07-02 16:30:59.192669,FRC1,65,37,161,15
2019-07-02 16:46:03.076931,FRC1,65,37,161,15
2019-07-02 17:01:04.243863,FRC1,63,38,127,19
2019-07-02 17:16:06.069588,FRC1,63,38,185,13
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:31:13.183499,FRC1,63,38,151,16
2019-07-02 15:46:14.826047,FRC1,63,38,151,16
2019-07-02 16:01:16.695138,FRC1,63,38,80,30
2019-07-02 16:16:18.057366,FRC1,65,37,109,22
2019-07-02 16:31:19.248116,FRC1,65,37,161,15
2019-07-02 16:46:20.440880,FRC1,65,37,161,15
2019-07-02 17:01:21.715914,FRC1,63,38,127,19
2019-07-02 17:16:26.812485,FRC1,63,38,185,13
