timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:06.895154,FRC3,74,26,129,15
2019-06-28 13:59:23.006985,FRC3,74,26,97,20
2019-06-28 14:20:16.455894,FRC3,74,26,92,21
2019-06-28 14:35:18.885199,FRC3,77,25,77,25
2019-06-28 14:50:21.114632,FRC3,77,25,77,25
2019-06-28 15:05:24.752933,FRC3,74,26,108,18
2019-06-28 15:20:28.048709,FRC3,77,25,114,17
2019-06-28 15:35:32.671227,FRC3,74,26,129,15
2019-06-28 15:50:34.304118,FRC3,77,25,194,10
2019-06-28 16:05:38.730747,FRC3,74,26,139,14
2019-06-28 16:20:40.458363,FRC3,74,26,102,19
2019-06-28 16:35:47.579680,FRC3,77,25,129,15
2019-06-28 16:50:49.307336,FRC3,77,25,139,14
2019-06-28 17:05:53.766272,FRC3,77,25,149,13
2019-06-28 17:20:55.335317,FRC3,77,25,149,13
2019-06-28 17:35:59.473533,FRC3,74,26,129,15
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:19.879225,FRC3,74,26,108,18
2019-07-02 11:51:21.432420,FRC3,77,25,102,19
2019-07-02 12:06:23.451705,FRC3,74,26,102,19
2019-07-02 12:21:26.133974,FRC3,74,26,121,16
2019-07-02 12:36:28.091869,FRC3,77,25,121,16
2019-07-02 12:51:30.054019,FRC3,77,25,97,20
2019-07-02 13:06:32.611890,FRC3,77,25,77,25
2019-07-02 13:21:36.395557,FRC3,77,25,129,15
2019-07-02 13:36:37.796303,FRC3,77,25,102,19
2019-07-02 13:51:39.459578,FRC3,77,25,97,20
2019-07-02 14:06:41.046373,FRC3,74,26,114,17
2019-07-02 14:21:42.444516,FRC3,74,26,74,26
2019-07-02 14:36:43.800696,FRC3,77,25,108,18
2019-07-02 14:51:44.924368,FRC3,77,25,114,17
2019-07-02 15:06:46.135563,FRC3,77,25,102,19
2019-07-02 15:21:47.510377,FRC3,74,26,74,26
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.398622,FRC3,77,25,97,20
2019-07-02 11:53:43.301178,FRC3,74,26,102,19
2019-07-02 12:08:44.727043,FRC3,77,25,114,17
2019-07-02 12:23:46.926555,FRC3,74,26,129,15
2019-07-02 12:38:48.705886,FRC3,74,26,114,17
2019-07-02 12:53:54.644307,FRC3,77,25,77,25
2019-07-02 13:08:56.859535,FRC3,77,25,77,25
2019-07-02 13:23:58.632300,FRC3,74,26,108,18
2019-07-02 13:39:00.780093,FRC3,74,26,74,26
2019-07-02 13:54:02.410336,FRC3,77,25,97,20
2019-07-02 14:09:03.891082,FRC3,74,26,108,18
2019-07-02 14:24:05.215587,FRC3,74,26,74,26
2019-07-02 14:39:06.607270,FRC3,77,25,102,19
2019-07-02 14:54:07.778372,FRC3,74,26,114,17
2019-07-02 15:09:11.176907,FRC3,74,26,102,19
2019-07-02 15:24:12.725044,FRC3,74,26,74,26
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:35.986194,FRC3,77,25,97,20
2019-07-02 13:05:37.491265,FRC3,77,25,77,25
2019-07-02 13:20:41.372338,FRC3,77,25,129,15
2019-07-02 13:35:43.148245,FRC3,77,25,102,19
2019-07-02 13:50:46.417337,FRC3,77,25,97,20
2019-07-02 14:05:50.495322,FRC3,74,26,108,18
2019-07-02 14:20:53.521405,FRC3,74,26,92,21
2019-07-02 14:35:55.039226,FRC3,74,26,97,20
2019-07-02 14:50:56.929518,FRC3,77,25,114,17
2019-07-02 15:06:02.662144,FRC3,77,25,102,19
2019-07-02 15:21:04.193615,FRC3,74,26,74,26
2019-07-02 15:36:05.635915,FRC3,77,25,114,17
2019-07-02 15:51:07.278178,FRC3,74,26,162,12
2019-07-02 16:06:08.697630,FRC3,74,26,139,14
2019-07-02 16:21:12.837687,FRC3,74,26,114,17
2019-07-02 16:36:14.106944,FRC3,74,26,139,14
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185203,FRC3,77,25,114,17
2019-07-02 15:45:57.796668,FRC3,77,25,177,11
2019-07-02 16:00:58.826118,FRC3,77,25,162,12
2019-07-02 16:16:00.040009,FRC3,74,26,129,15
2019-07-02 16:31:01.583011,FRC3,77,25,108,18
2019-07-02 16:46:03.000441,FRC3,77,25,194,10
2019-07-02 17:01:04.243761,FRC3,77,25,162,12
2019-07-02 17:16:06.116706,FRC3,74,26,139,14
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:49.222704,FRC3,77,25,114,17
2019-07-02 15:45:51.694896,FRC3,77,25,177,11
2019-07-02 16:00:54.940705,FRC3,77,25,162,12
2019-07-02 16:15:56.682253,FRC3,74,26,129,15
2019-07-02 16:30:59.104914,FRC3,77,25,108,18
2019-07-02 16:46:01.391847,FRC3,77,25,194,10
2019-07-02 17:01:03.681703,FRC3,77,25,162,12
2019-07-02 17:16:08.337930,FRC3,74,26,139,14
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:31:13.183582,FRC3,77,25,114,17
2019-07-02 15:46:14.816558,FRC3,77,25,177,11
2019-07-02 16:01:16.875316,FRC3,77,25,162,12
2019-07-02 16:16:18.242997,FRC3,74,26,129,15
2019-07-02 16:31:19.463279,FRC3,77,25,108,18
2019-07-02 16:46:20.773087,FRC3,77,25,194,10
2019-07-02 17:01:21.957986,FRC3,77,25,162,12
2019-07-02 17:16:27.895761,FRC3,74,26,139,14
