timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:07.826788,FRC1,80,33,126,21
2019-06-28 13:59:23.415838,FRC1,80,33,139,19
2019-06-28 14:20:15.604367,FRC1,78,34,126,21
2019-06-28 14:35:17.947845,FRC1,78,34,106,25
2019-06-28 14:50:24.576042,FRC1,78,34,126,21
2019-06-28 15:05:26.138939,FRC1,78,34,110,24
2019-06-28 15:20:29.813607,FRC1,78,34,139,19
2019-06-28 15:35:32.020355,FRC1,78,34,115,23
2019-06-28 15:50:34.494544,FRC1,78,34,120,22
2019-06-28 16:05:37.577778,FRC1,78,34,126,21
2019-06-28 16:20:42.333135,FRC1,78,34,115,23
2019-06-28 16:35:45.605642,FRC1,78,34,106,25
2019-06-28 16:50:50.058780,FRC1,78,34,120,22
2019-06-28 17:05:53.772321,FRC1,80,33,126,21
2019-06-28 17:20:55.284361,FRC1,78,34,120,22
2019-06-28 17:35:58.061392,FRC1,78,34,120,22
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:26:54.497504,FRC1,78,34,120,22
2019-07-02 15:27:56.982851,FRC1,78,34,120,22
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:20.531852,FRC1,80,33,120,22
2019-07-02 11:51:21.734708,FRC1,80,33,110,24
2019-07-02 12:06:23.477724,FRC1,80,33,110,24
2019-07-02 12:21:26.121892,FRC1,78,34,139,19
2019-07-02 12:36:28.091854,FRC1,80,33,126,21
2019-07-02 12:51:30.054050,FRC1,78,34,115,23
2019-07-02 13:06:32.611854,FRC1,80,33,132,20
2019-07-02 13:21:37.013553,FRC1,78,34,132,20
2019-07-02 13:36:38.511367,FRC1,80,33,126,21
2019-07-02 13:51:44.988584,FRC1,80,33,102,26
2019-07-02 14:06:46.672597,FRC1,78,34,115,23
2019-07-02 14:21:48.202814,FRC1,78,34,126,21
2019-07-02 14:36:49.937646,FRC1,80,33,110,24
2019-07-02 14:51:51.331526,FRC1,78,34,139,19
2019-07-02 15:06:52.492150,FRC1,80,33,126,21
2019-07-02 15:21:54.120563,FRC1,80,33,120,22
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.402239,FRC1,78,34,110,24
2019-07-02 11:53:42.843304,FRC1,78,34,106,25
2019-07-02 12:08:44.113798,FRC1,80,33,120,22
2019-07-02 12:23:47.818525,FRC1,80,33,132,20
2019-07-02 12:38:49.242268,FRC1,80,33,132,20
2019-07-02 12:53:51.779178,FRC1,78,34,115,23
2019-07-02 13:08:54.342292,FRC1,78,34,132,20
2019-07-02 13:23:55.968674,FRC1,78,34,132,20
2019-07-02 13:38:57.707447,FRC1,80,33,102,26
2019-07-02 13:54:00.155799,FRC1,78,34,106,25
2019-07-02 14:09:02.046166,FRC1,78,34,115,23
2019-07-02 14:24:04.377225,FRC1,80,33,120,22
2019-07-02 14:39:05.551833,FRC1,80,33,110,24
2019-07-02 14:54:09.207769,FRC1,80,33,139,19
2019-07-02 15:09:10.362338,FRC1,78,34,126,21
2019-07-02 15:24:11.620264,FRC1,78,34,115,23
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
