timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:07.794008,FRC2,58,47,75,36
2019-06-28 13:59:22.317194,FRC2,58,47,73,37
2019-06-28 14:20:16.416958,FRC2,59,46,80,34
2019-06-28 14:35:18.897114,FRC2,59,46,78,35
2019-06-28 14:50:21.931313,FRC2,58,47,75,36
2019-06-28 15:05:30.412916,FRC2,59,46,80,34
2019-06-28 15:20:32.134873,FRC2,59,46,94,29
2019-06-28 15:35:33.900030,FRC2,58,47,91,30
2019-06-28 15:50:35.430235,FRC2,59,46,73,37
2019-06-28 16:05:37.577835,FRC2,58,47,94,29
2019-06-28 16:20:42.361141,FRC2,59,46,75,36
2019-06-28 16:35:45.623965,FRC2,58,47,75,36
2019-06-28 16:50:50.057353,FRC2,58,47,82,33
2019-06-28 17:05:52.172737,FRC2,58,47,82,33
2019-06-28 17:20:55.729213,FRC2,58,47,105,26
2019-06-28 17:35:57.334925,FRC2,58,47,118,23
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:19.801182,FRC2,58,47,85,32
2019-07-02 11:51:22.807893,FRC2,58,47,82,33
2019-07-02 12:06:23.931244,FRC2,59,46,80,34
2019-07-02 12:21:25.859692,FRC2,58,47,80,34
2019-07-02 12:36:32.063798,FRC2,59,46,78,35
2019-07-02 12:51:33.739324,FRC2,58,47,80,34
2019-07-02 13:06:36.130183,FRC2,59,46,85,32
2019-07-02 13:21:41.414053,FRC2,58,47,97,28
2019-07-02 13:36:43.357477,FRC2,58,47,80,34
2019-07-02 13:51:44.988625,FRC2,58,47,82,33
2019-07-02 14:06:46.672651,FRC2,59,46,82,33
2019-07-02 14:21:48.202838,FRC2,59,46,82,33
2019-07-02 14:36:49.937767,FRC2,58,47,58,47
2019-07-02 14:51:51.458318,FRC2,58,47,73,37
2019-07-02 15:06:52.593263,FRC2,59,46,59,46
2019-07-02 15:21:54.120586,FRC2,59,46,88,31
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.398379,FRC2,58,47,91,30
2019-07-02 11:53:42.623277,FRC2,58,47,82,33
2019-07-02 12:08:46.366525,FRC2,58,47,75,36
2019-07-02 12:23:48.150351,FRC2,58,47,75,36
2019-07-02 12:38:49.611501,FRC2,59,46,80,34
2019-07-02 12:53:51.779538,FRC2,59,46,82,33
2019-07-02 13:08:53.739452,FRC2,58,47,82,33
2019-07-02 13:23:55.561133,FRC2,59,46,101,27
2019-07-02 13:38:58.026599,FRC2,58,47,88,31
2019-07-02 13:54:00.161024,FRC2,58,47,82,33
2019-07-02 14:09:02.046167,FRC2,59,46,82,33
2019-07-02 14:24:04.364799,FRC2,58,47,78,35
2019-07-02 14:39:05.527405,FRC2,58,47,58,47
2019-07-02 14:54:09.202991,FRC2,59,46,73,37
2019-07-02 15:09:10.321151,FRC2,59,46,75,36
2019-07-02 15:24:11.620292,FRC2,58,47,75,36
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:35.986040,FRC2,59,46,85,32
2019-07-02 13:05:37.479531,FRC2,58,47,85,32
2019-07-02 13:20:41.372382,FRC2,58,47,97,28
2019-07-02 13:35:43.148186,FRC2,58,47,80,34
2019-07-02 13:50:46.417319,FRC2,59,46,85,32
2019-07-02 14:05:50.637941,FRC2,59,46,82,33
2019-07-02 14:20:52.200065,FRC2,58,47,82,33
2019-07-02 14:35:54.729824,FRC2,58,47,58,47
2019-07-02 14:50:58.502553,FRC2,58,47,73,37
2019-07-02 15:05:59.641062,FRC2,59,46,59,46
2019-07-02 15:21:02.671787,FRC2,59,46,88,31
2019-07-02 15:36:05.224168,FRC2,59,46,82,33
2019-07-02 15:51:06.903022,FRC2,58,47,88,31
2019-07-02 16:06:09.395517,FRC2,58,47,80,34
2019-07-02 16:21:11.052571,FRC2,58,47,85,32
2019-07-02 16:36:12.921870,FRC2,58,47,88,31
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185240,FRC2,58,47,75,36
2019-07-02 15:45:57.880678,FRC2,58,47,88,31
2019-07-02 16:00:59.086374,FRC2,58,47,91,30
2019-07-02 16:16:00.777666,FRC2,58,47,71,38
2019-07-02 16:31:01.959249,FRC2,59,46,91,30
2019-07-02 16:46:03.444488,FRC2,59,46,82,33
2019-07-02 17:01:04.755740,FRC2,58,47,94,29
2019-07-02 17:16:06.281433,FRC2,58,47,118,23
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:49.222522,FRC2,58,47,75,36
2019-07-02 15:45:51.684395,FRC2,58,47,88,31
2019-07-02 16:00:54.095751,FRC2,58,47,91,30
2019-07-02 16:15:59.108836,FRC2,58,47,71,38
2019-07-02 16:31:00.200045,FRC2,59,46,91,30
2019-07-02 16:46:01.489560,FRC2,59,46,82,33
2019-07-02 17:01:03.343106,FRC2,58,47,94,29
2019-07-02 17:16:07.312523,FRC2,58,47,118,23
