timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:06.907544,FRC1,110,50,110,50
2019-06-28 13:59:23.638971,FRC1,110,50,110,50
2019-06-28 14:20:14.173960,FRC1,110,50,110,50
2019-06-28 14:35:21.835576,FRC1,108,51,108,51
2019-06-28 14:50:29.511868,FRC1,108,51,108,51
2019-06-28 15:05:31.222247,FRC1,108,51,108,51
2019-06-28 15:20:32.733937,FRC1,108,51,108,51
2019-06-28 15:35:34.309450,FRC1,108,51,108,51
2019-06-28 15:50:36.044888,FRC1,108,51,108,51
2019-06-28 16:05:44.539263,FRC1,108,51,108,51
2019-06-28 16:20:46.001781,FRC1,108,51,108,51
2019-06-28 16:35:48.820939,FRC1,108,51,145,38
2019-06-28 16:50:50.523639,FRC1,110,50,138,40
2019-06-28 17:05:52.549981,FRC1,108,51,138,40
2019-06-28 17:20:55.578774,FRC1,110,50,110,50
2019-06-28 17:35:59.156045,FRC1,110,50,110,50
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:19.801348,FRC1,110,50,110,50
2019-07-02 11:51:23.626245,FRC1,108,51,108,51
2019-07-02 12:06:25.053535,FRC1,108,51,108,51
2019-07-02 12:21:26.440948,FRC1,108,51,134,41
2019-07-02 12:36:28.097973,FRC1,110,50,110,50
2019-07-02 12:51:30.053940,FRC1,110,50,110,50
2019-07-02 13:06:32.227940,FRC1,110,50,110,50
2019-07-02 13:21:36.355922,FRC1,108,51,108,51
2019-07-02 13:36:37.796320,FRC1,108,51,108,51
2019-07-02 13:51:39.459743,FRC1,108,51,108,51
2019-07-02 14:06:41.046747,FRC1,108,51,108,51
2019-07-02 14:21:42.443569,FRC1,108,51,108,51
2019-07-02 14:36:43.800687,FRC1,108,51,108,51
2019-07-02 14:51:45.020638,FRC1,108,51,108,51
2019-07-02 15:06:46.244459,FRC1,108,51,108,51
2019-07-02 15:21:47.510546,FRC1,108,51,108,51
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.426628,FRC1,110,50,110,50
2019-07-02 11:53:42.669468,FRC1,108,51,108,51
2019-07-02 12:08:44.113949,FRC1,108,51,108,51
2019-07-02 12:23:47.855718,FRC1,108,51,141,39
2019-07-02 12:38:49.484949,FRC1,110,50,110,50
2019-07-02 12:53:54.644500,FRC1,110,50,110,50
2019-07-02 13:08:56.859967,FRC1,110,50,110,50
2019-07-02 13:23:58.632546,FRC1,108,51,108,51
2019-07-02 13:39:00.780538,FRC1,108,51,108,51
2019-07-02 13:54:02.410214,FRC1,108,51,134,41
2019-07-02 14:09:03.891067,FRC1,108,51,108,51
2019-07-02 14:24:05.215824,FRC1,108,51,108,51
2019-07-02 14:39:06.613886,FRC1,108,51,108,51
2019-07-02 14:54:07.809583,FRC1,108,51,108,51
2019-07-02 15:09:09.968416,FRC1,108,51,108,51
2019-07-02 15:24:11.416329,FRC1,108,51,108,51
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:34.498697,FRC1,110,50,110,50
2019-07-02 13:05:37.926136,FRC1,110,50,110,50
2019-07-02 13:20:39.686212,FRC1,108,51,108,51
2019-07-02 13:35:42.532570,FRC1,108,51,108,51
2019-07-02 13:50:46.417552,FRC1,108,51,108,51
2019-07-02 14:05:50.642735,FRC1,108,51,108,51
2019-07-02 14:20:52.188666,FRC1,108,51,108,51
2019-07-02 14:35:55.257231,FRC1,108,51,108,51
2019-07-02 14:50:57.559881,FRC1,108,51,108,51
2019-07-02 15:05:59.169290,FRC1,108,51,108,51
2019-07-02 15:21:02.671934,FRC1,108,51,108,51
2019-07-02 15:36:04.770236,FRC1,108,51,108,51
2019-07-02 15:51:07.278769,FRC1,110,50,110,50
2019-07-02 16:06:08.697802,FRC1,110,50,110,50
2019-07-02 16:21:11.604242,FRC1,110,50,110,50
2019-07-02 16:36:12.913277,FRC1,110,50,110,50
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185493,FRC1,108,51,108,51
2019-07-02 15:45:57.708911,FRC1,108,51,108,51
2019-07-02 16:00:58.857323,FRC1,110,50,110,50
2019-07-02 16:16:00.371065,FRC1,110,50,110,50
2019-07-02 16:31:01.703700,FRC1,110,50,110,50
2019-07-02 16:46:03.135181,FRC1,110,50,138,40
2019-07-02 17:01:04.289453,FRC1,110,50,110,50
2019-07-02 17:16:07.722798,FRC1,108,51,108,51
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:50.858349,FRC1,108,51,108,51
2019-07-02 15:45:52.366655,FRC1,108,51,108,51
2019-07-02 16:00:54.157946,FRC1,110,50,110,50
2019-07-02 16:15:56.682350,FRC1,110,50,110,50
2019-07-02 16:30:59.068382,FRC1,110,50,110,50
2019-07-02 16:46:03.058548,FRC1,110,50,138,40
2019-07-02 17:01:04.244004,FRC1,110,50,110,50
2019-07-02 17:16:07.761104,FRC1,108,51,108,51
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:31:13.183464,FRC1,108,51,108,51
2019-07-02 15:46:14.816581,FRC1,108,51,149,37
2019-07-02 16:01:16.636743,FRC1,110,50,110,50
2019-07-02 16:16:17.900871,FRC1,110,50,110,50
2019-07-02 16:31:19.174412,FRC1,110,50,110,50
2019-07-02 16:46:20.429701,FRC1,110,50,138,40
2019-07-02 17:01:21.724323,FRC1,110,50,110,50
2019-07-02 17:16:27.427843,FRC1,108,51,108,51
