timestamp,Road Type,Free Flow Time,Free Flow Speed,Current Time,Current Speed
2019-06-26 15:35:09.395687,FRC1,41,40,53,31
2019-06-26 15:50:10.329025,FRC1,42,39,42,39
2019-06-26 16:05:11.522226,FRC1,41,40,56,29
2019-06-26 16:20:13.692958,FRC1,41,40,41,40
2019-06-26 18:29:26.830192,FRC1,41,40,86,19
2019-06-26 18:44:28.762328,FRC1,41,40,55,30
2019-06-26 18:59:35.010977,FRC1,41,40,71,23
2019-06-26 19:14:36.651709,FRC1,41,40,53,31
2019-06-26 19:29:38.292348,FRC1,42,39,55,30
2019-06-26 19:44:40.240041,FRC1,42,39,66,25
2019-06-26 19:59:41.881068,FRC1,41,40,56,29
2019-06-26 20:14:43.520290,FRC1,41,40,59,28
2019-06-26 20:29:50.631368,FRC1,41,40,59,28
2019-06-26 20:44:52.273472,FRC1,41,40,82,20
2019-06-26 20:59:53.604634,FRC1,41,40,56,29
2019-06-26 21:43:29.399017,FRC1,42,39,42,39
2019-06-26 21:58:31.184850,FRC1,41,40,41,40
2019-06-26 22:13:32.824465,FRC1,41,40,41,40
2019-06-26 22:28:40.341717,FRC1,41,40,53,31
timestamp,Road Type,Free Flow Time,Free Flow Speed,Current Time,Current Speed
2019-06-27 11:15:11.224336,FRC1,41,40,97,17
2019-06-27 11:30:15.008734,FRC1,42,39,82,20
2019-06-27 11:45:19.033408,FRC1,41,40,150,11
2019-06-27 12:00:26.772978,FRC1,42,39,91,18
2019-06-27 12:15:31.175080,FRC1,42,39,150,11
2019-06-27 12:30:34.345200,FRC1,41,40,82,20
2019-06-27 12:45:36.614851,FRC1,41,40,86,19
2019-06-27 13:00:41.983215,FRC1,42,39,78,21
2019-06-27 13:15:47.455055,FRC1,41,40,78,21
2019-06-27 13:30:49.566247,FRC1,41,40,71,23
2019-06-27 14:55:04.940590,FRC1,42,39,53,31
2019-06-27 15:10:08.315819,FRC1,42,39,53,31
2019-06-27 15:25:13.112308,FRC1,41,40,59,28
