timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:07.702192,FRC1,77,48,77,48
2019-06-28 13:59:23.007102,FRC1,77,48,102,36
2019-06-28 14:20:16.411702,FRC1,75,49,75,49
2019-06-28 14:35:18.879242,FRC1,75,49,102,36
2019-06-28 14:50:21.114738,FRC1,75,49,99,37
2019-06-28 15:05:24.795113,FRC1,75,49,97,38
2019-06-28 15:20:27.993643,FRC1,75,49,75,49
2019-06-28 15:35:32.014432,FRC1,75,49,75,49
2019-06-28 15:50:34.494566,FRC1,75,49,102,36
2019-06-28 16:05:37.577968,FRC1,77,48,112,33
2019-06-28 16:20:44.274178,FRC1,77,48,105,35
2019-06-28 16:35:47.605979,FRC1,77,48,102,36
2019-06-28 16:50:49.319722,FRC1,75,49,112,33
2019-06-28 17:05:52.174296,FRC1,77,48,112,33
2019-06-28 17:20:55.370345,FRC1,77,48,127,29
2019-06-28 17:35:59.436717,FRC1,75,49,102,36
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:19.801567,FRC1,77,48,77,48
2019-07-02 11:51:22.807992,FRC1,77,48,97,38
2019-07-02 12:06:23.951108,FRC1,75,49,75,49
2019-07-02 12:21:25.846124,FRC1,75,49,75,49
2019-07-02 12:36:32.063841,FRC1,75,49,75,49
2019-07-02 12:51:33.739193,FRC1,77,48,77,48
2019-07-02 13:06:36.118139,FRC1,75,49,75,49
2019-07-02 13:21:39.366829,FRC1,77,48,77,48
2019-07-02 13:36:40.885850,FRC1,77,48,97,38
2019-07-02 13:51:42.737582,FRC1,75,49,127,29
2019-07-02 14:06:44.215229,FRC1,77,48,154,24
2019-07-02 14:21:45.949822,FRC1,77,48,97,38
2019-07-02 14:36:47.678574,FRC1,78,47,246,15
2019-07-02 14:51:48.922497,FRC1,75,49,369,10
2019-07-02 15:06:50.207267,FRC1,77,48,217,17
2019-07-02 15:21:51.662588,FRC1,75,49,75,49
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.398452,FRC1,75,49,75,49
2019-07-02 11:53:42.687442,FRC1,77,48,102,36
2019-07-02 12:08:46.366561,FRC1,75,49,75,49
2019-07-02 12:23:48.126754,FRC1,77,48,97,38
2019-07-02 12:38:49.462011,FRC1,75,49,75,49
2019-07-02 12:53:51.779595,FRC1,77,48,77,48
2019-07-02 13:08:56.859805,FRC1,75,49,75,49
2019-07-02 13:23:58.632369,FRC1,77,48,77,48
2019-07-02 13:39:00.779890,FRC1,77,48,94,39
2019-07-02 13:54:02.410424,FRC1,75,49,184,20
2019-07-02 14:09:03.890912,FRC1,75,49,160,23
2019-07-02 14:24:05.215968,FRC1,77,48,97,38
2019-07-02 14:39:06.639041,FRC1,77,48,308,12
2019-07-02 14:54:07.829450,FRC1,75,49,369,10
2019-07-02 15:09:09.993793,FRC1,75,49,147,25
2019-07-02 15:24:12.440916,FRC1,75,49,94,39
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:34.225154,FRC1,77,48,77,48
2019-07-02 13:05:38.344588,FRC1,75,49,97,38
2019-07-02 13:20:40.009542,FRC1,77,48,77,48
2019-07-02 13:35:43.965889,FRC1,77,48,97,38
2019-07-02 13:50:49.078327,FRC1,75,49,127,29
2019-07-02 14:05:50.345431,FRC1,77,48,184,20
2019-07-02 14:20:52.189651,FRC1,75,49,94,39
2019-07-02 14:35:55.665887,FRC1,77,48,217,17
